expression,meaning,example,domain
ful@kno,knowing-component of full,ful@kno = the knowing aspect within full,cognitive
kno@emp,empty-component of knowing,kno@emp = the empty aspect hidden in knowing,cognitive
emp@kno,knowing-component of empty,emp@kno = the knowing aspect within empty,cognitive
kno@abs,abstract-component of knowing,kno@abs = the abstract aspect hidden in knowing,cognitive
abs@kno,knowing-component of abstract,abs@kno = the knowing aspect within abstract,cognitive
kno@rem,remembering-component of knowing,kno@rem = the remembering aspect hidden in knowing,cognitive
rem@kno,knowing-component of remembering,rem@kno = the knowing aspect within remembering,cognitive
kno@ima,imagining-component of knowing,kno@ima = the imagining aspect hidden in knowing,cognitive
ima@kno,knowing-component of imagining,ima@kno = the knowing aspect within imagining,cognitive
kno@dre,dreaming-component of knowing,kno@dre = the dreaming aspect hidden in knowing,cognitive
dre@kno,knowing-component of dreaming,dre@kno = the knowing aspect within dreaming,cognitive
kno@for,forget-component of knowing,kno@for = the forget aspect hidden in knowing,cognitive
for@kno,knowing-component of forget,for@kno = the knowing aspect within forget,cognitive
kno@rec,recall-component of knowing,kno@rec = the recall aspect hidden in knowing,cognitive
rec@kno,knowing-component of recall,rec@kno = the knowing aspect within recall,cognitive
kno@ang,anger-component of knowing,kno@ang = the anger aspect hidden in knowing,cognitive
ang@kno,knowing-component of anger,ang@kno = the knowing aspect within anger,cognitive
kno@joy,joy-component of knowing,kno@joy = the joy aspect hidden in knowing,cognitive
joy@kno,knowing-component of joy,joy@kno = the knowing aspect within joy,cognitive
kno@sad,sadness-component of knowing,kno@sad = the sadness aspect hidden in knowing,cognitive
sad@kno,knowing-component of sadness,sad@kno = the knowing aspect within sadness,cognitive
kno@fea,fear-component of knowing,kno@fea = the fear aspect hidden in knowing,cognitive
fea@kno,knowing-component of fear,fea@kno = the knowing aspect within fear,cognitive
kno@des,desire-component of knowing,kno@des = the desire aspect hidden in knowing,cognitive
des@kno,knowing-component of desire,des@kno = the knowing aspect within desire,cognitive
kno@hop,hope-component of knowing,kno@hop = the hope aspect hidden in knowing,cognitive
hop@kno,knowing-component of hope,hop@kno = the knowing aspect within hope,cognitive
kno@cou,courage-component of knowing,kno@cou = the courage aspect hidden in knowing,cognitive
cou@kno,knowing-component of courage,cou@kno = the knowing aspect within courage,cognitive
kno@cow,coward-component of knowing,kno@cow = the coward aspect hidden in knowing,cognitive
cow@kno,knowing-component of coward,cow@kno = the knowing aspect within coward,cognitive
kno@lov,love-component of knowing,kno@lov = the love aspect hidden in knowing,cognitive
lov@kno,knowing-component of love,lov@kno = the knowing aspect within love,cognitive
kno@hat,hate-component of knowing,kno@hat = the hate aspect hidden in knowing,cognitive
hat@kno,knowing-component of hate,hat@kno = the knowing aspect within hate,cognitive
kno@pri,pride-component of knowing,kno@pri = the pride aspect hidden in knowing,cognitive
pri@kno,knowing-component of pride,pri@kno = the knowing aspect within pride,cognitive
kno@sha,shame-component of knowing,kno@sha = the shame aspect hidden in knowing,cognitive
sha@kno,knowing-component of shame,sha@kno = the knowing aspect within shame,cognitive
kno@bor,bored-component of knowing,kno@bor = the bored aspect hidden in knowing,cognitive
bor@kno,knowing-component of bored,bor@kno = the knowing aspect within bored,cognitive
kno@exc,excitement-component of knowing,kno@exc = the excitement aspect hidden in knowing,cognitive
exc@kno,knowing-component of excitement,exc@kno = the knowing aspect within excitement,cognitive
kno@anx,anxious-component of knowing,kno@anx = the anxious aspect hidden in knowing,cognitive
anx@kno,knowing-component of anxious,anx@kno = the knowing aspect within anxious,cognitive
kno@cal,calm-component of knowing,kno@cal = the calm aspect hidden in knowing,cognitive
cal@kno,knowing-component of calm,cal@kno = the knowing aspect within calm,cognitive
kno@cur,curious-component of knowing,kno@cur = the curious aspect hidden in knowing,cognitive
cur@kno,knowing-component of curious,cur@kno = the knowing aspect within curious,cognitive
kno@cre,creative-component of knowing,kno@cre = the creative aspect hidden in knowing,cognitive
cre@kno,knowing-component of creative,cre@kno = the knowing aspect within creative,cognitive
kno@pra,practical-component of knowing,kno@pra = the practical aspect hidden in knowing,cognitive
pra@kno,knowing-component of practical,pra@kno = the knowing aspect within practical,cognitive
kno@log,logical-component of knowing,kno@log = the logical aspect hidden in knowing,cognitive
log@kno,knowing-component of logical,log@kno = the knowing aspect within logical,cognitive
kno@ilg,illogical-component of knowing,kno@ilg = the illogical aspect hidden in knowing,cognitive
ilg@kno,knowing-component of illogical,ilg@kno = the knowing aspect within illogical,cognitive
kno@val,valid-component of knowing,kno@val = the valid aspect hidden in knowing,cognitive
val@kno,knowing-component of valid,val@kno = the knowing aspect within valid,cognitive
kno@fal,false-component of knowing,kno@fal = the false aspect hidden in knowing,cognitive
fal@kno,knowing-component of false,fal@kno = the knowing aspect within false,cognitive
kno@tru,true-component of knowing,kno@tru = the true aspect hidden in knowing,cognitive
tru@kno,knowing-component of true,tru@kno = the knowing aspect within true,cognitive
kno@par,paradoxical-component of knowing,kno@par = the paradoxical aspect hidden in knowing,cognitive
par@kno,knowing-component of paradoxical,par@kno = the knowing aspect within paradoxical,cognitive
kno@jus,justified-component of knowing,kno@jus = the justified aspect hidden in knowing,cognitive
jus@kno,knowing-component of justified,jus@kno = the knowing aspect within justified,cognitive
kno@int,intuition-component of knowing,kno@int = the intuition aspect hidden in knowing,cognitive
int@kno,knowing-component of intuition,int@kno = the knowing aspect within intuition,cognitive
kno@aim,aim-component of knowing,kno@aim = the aim aspect hidden in knowing,cognitive
aim@kno,knowing-component of aim,aim@kno = the knowing aspect within aim,cognitive
kno@pur,purpose-component of knowing,kno@pur = the purpose aspect hidden in knowing,cognitive
pur@kno,knowing-component of purpose,pur@kno = the knowing aspect within purpose,cognitive
kno@puz,puzzle-component of knowing,kno@puz = the puzzle aspect hidden in knowing,cognitive
puz@kno,knowing-component of puzzle,puz@kno = the knowing aspect within puzzle,cognitive
kno@wis,wise-component of knowing,kno@wis = the wise aspect hidden in knowing,cognitive
wis@kno,knowing-component of wise,wis@kno = the knowing aspect within wise,cognitive
kno@ign,ignorant-component of knowing,kno@ign = the ignorant aspect hidden in knowing,cognitive
ign@kno,knowing-component of ignorant,ign@kno = the knowing aspect within ignorant,cognitive
und@thi,thinking-component of understanding,und@thi = the thinking aspect hidden in understanding,cognitive
thi@und,understanding-component of thinking,thi@und = the understanding aspect within thinking,cognitive
und@rea,reasoning-component of understanding,und@rea = the reasoning aspect hidden in understanding,cognitive
rea@und,understanding-component of reasoning,rea@und = the understanding aspect within reasoning,cognitive
und@ana,analyzing-component of understanding,und@ana = the analyzing aspect hidden in understanding,cognitive
ana@und,understanding-component of analyzing,ana@und = the understanding aspect within analyzing,cognitive
und@syn,synthesizing-component of understanding,und@syn = the synthesizing aspect hidden in understanding,cognitive
syn@und,understanding-component of synthesizing,syn@und = the understanding aspect within synthesizing,cognitive
und@ded,deducing-component of understanding,und@ded = the deducing aspect hidden in understanding,cognitive
ded@und,understanding-component of deducing,ded@und = the understanding aspect within deducing,cognitive
und@ind,inducing-component of understanding,und@ind = the inducing aspect hidden in understanding,cognitive
ind@und,understanding-component of inducing,ind@und = the understanding aspect within inducing,cognitive
und@abd,abducting-component of understanding,und@abd = the abducting aspect hidden in understanding,cognitive
abd@und,understanding-component of abducting,abd@und = the understanding aspect within abducting,cognitive
und@hyp,hypothesizing-component of understanding,und@hyp = the hypothesizing aspect hidden in understanding,cognitive
hyp@und,understanding-component of hypothesizing,hyp@und = the understanding aspect within hypothesizing,cognitive
und@crt,certain-component of understanding,und@crt = the certain aspect hidden in understanding,cognitive
crt@und,understanding-component of certain,crt@und = the understanding aspect within certain,cognitive
und@prb,probable-component of understanding,und@prb = the probable aspect hidden in understanding,cognitive
prb@und,understanding-component of probable,prb@und = the understanding aspect within probable,cognitive
und@sus,suspect-component of understanding,und@sus = the suspect aspect hidden in understanding,cognitive
sus@und,understanding-component of suspect,sus@und = the understanding aspect within suspect,cognitive
und@dou,doubting-component of understanding,und@dou = the doubting aspect hidden in understanding,cognitive
dou@und,understanding-component of doubting,dou@und = the understanding aspect within doubting,cognitive
und@dub,doubt-component of understanding,und@dub = the doubt aspect hidden in understanding,cognitive
dub@und,understanding-component of doubt,dub@und = the understanding aspect within doubt,cognitive
und@gue,guess-component of understanding,und@gue = the guess aspect hidden in understanding,cognitive
gue@und,understanding-component of guess,gue@und = the understanding aspect within guess,cognitive
und@asu,assume-component of understanding,und@asu = the assume aspect hidden in understanding,cognitive
asu@und,understanding-component of assume,asu@und = the understanding aspect within assume,cognitive
und@evi,evidence-component of understanding,und@evi = the evidence aspect hidden in understanding,cognitive
evi@und,understanding-component of evidence,evi@und = the understanding aspect within evidence,cognitive
und@bel,believing-component of understanding,und@bel = the believing aspect hidden in understanding,cognitive
bel@und,understanding-component of believing,bel@und = the understanding aspect within believing,cognitive
und@lik,likely-component of understanding,und@lik = the likely aspect hidden in understanding,cognitive
lik@und,understanding-component of likely,lik@und = the understanding aspect within likely,cognitive
und@foc,focus-component of understanding,und@foc = the focus aspect hidden in understanding,cognitive
foc@und,understanding-component of focus,foc@und = the understanding aspect within focus,cognitive
und@atn,attention-component of understanding,und@atn = the attention aspect hidden in understanding,cognitive
atn@und,understanding-component of attention,atn@und = the understanding aspect within attention,cognitive
und@con,concentrate-component of understanding,und@con = the concentrate aspect hidden in understanding,cognitive
con@und,understanding-component of concentrate,con@und = the understanding aspect within concentrate,cognitive
und@dis,distract-component of understanding,und@dis = the distract aspect hidden in understanding,cognitive
dis@und,understanding-component of distract,dis@und = the understanding aspect within distract,cognitive
und@obs,observe-component of understanding,und@obs = the observe aspect hidden in understanding,cognitive
obs@und,understanding-component of observe,obs@und = the understanding aspect within observe,cognitive
und@per,perceive-component of understanding,und@per = the perceive aspect hidden in understanding,cognitive
per@und,understanding-component of perceive,per@und = the understanding aspect within perceive,cognitive
und@abl,able-component of understanding,und@abl = the able aspect hidden in understanding,cognitive
abl@und,understanding-component of able,abl@und = the understanding aspect within able,cognitive
und@aud,hearing-component of understanding,und@aud = the hearing aspect hidden in understanding,cognitive
aud@und,understanding-component of hearing,aud@und = the understanding aspect within hearing,cognitive
und@see,seeing-component of understanding,und@see = the seeing aspect hidden in understanding,cognitive
see@und,understanding-component of seeing,see@und = the understanding aspect within seeing,cognitive
und@sme,smelling-component of understanding,und@sme = the smelling aspect hidden in understanding,cognitive
sme@und,understanding-component of smelling,sme@und = the understanding aspect within smelling,cognitive
und@cle,clear-component of understanding,und@cle = the clear aspect hidden in understanding,cognitive
cle@und,understanding-component of clear,cle@und = the understanding aspect within clear,cognitive
und@dar,dark-component of understanding,und@dar = the dark aspect hidden in understanding,cognitive
dar@und,understanding-component of dark,dar@und = the understanding aspect within dark,cognitive
und@luc,lucid-component of understanding,und@luc = the lucid aspect hidden in understanding,cognitive
luc@und,understanding-component of lucid,luc@und = the understanding aspect within lucid,cognitive
und@clo,cloudy-component of understanding,und@clo = the cloudy aspect hidden in understanding,cognitive
clo@und,understanding-component of cloudy,clo@und = the understanding aspect within cloudy,cognitive
und@ful,full-component of understanding,und@ful = the full aspect hidden in understanding,cognitive
ful@und,understanding-component of full,ful@und = the understanding aspect within full,cognitive
und@emp,empty-component of understanding,und@emp = the empty aspect hidden in understanding,cognitive
emp@und,understanding-component of empty,emp@und = the understanding aspect within empty,cognitive
und@abs,abstract-component of understanding,und@abs = the abstract aspect hidden in understanding,cognitive
abs@und,understanding-component of abstract,abs@und = the understanding aspect within abstract,cognitive
und@rem,remembering-component of understanding,und@rem = the remembering aspect hidden in understanding,cognitive
rem@und,understanding-component of remembering,rem@und = the understanding aspect within remembering,cognitive
und@ima,imagining-component of understanding,und@ima = the imagining aspect hidden in understanding,cognitive
ima@und,understanding-component of imagining,ima@und = the understanding aspect within imagining,cognitive
und@dre,dreaming-component of understanding,und@dre = the dreaming aspect hidden in understanding,cognitive
dre@und,understanding-component of dreaming,dre@und = the understanding aspect within dreaming,cognitive
und@for,forget-component of understanding,und@for = the forget aspect hidden in understanding,cognitive
for@und,understanding-component of forget,for@und = the understanding aspect within forget,cognitive
und@rec,recall-component of understanding,und@rec = the recall aspect hidden in understanding,cognitive
rec@und,understanding-component of recall,rec@und = the understanding aspect within recall,cognitive
und@ang,anger-component of understanding,und@ang = the anger aspect hidden in understanding,cognitive
ang@und,understanding-component of anger,ang@und = the understanding aspect within anger,cognitive
und@joy,joy-component of understanding,und@joy = the joy aspect hidden in understanding,cognitive
joy@und,understanding-component of joy,joy@und = the understanding aspect within joy,cognitive
und@sad,sadness-component of understanding,und@sad = the sadness aspect hidden in understanding,cognitive
sad@und,understanding-component of sadness,sad@und = the understanding aspect within sadness,cognitive
und@fea,fear-component of understanding,und@fea = the fear aspect hidden in understanding,cognitive
fea@und,understanding-component of fear,fea@und = the understanding aspect within fear,cognitive
und@des,desire-component of understanding,und@des = the desire aspect hidden in understanding,cognitive
des@und,understanding-component of desire,des@und = the understanding aspect within desire,cognitive
und@hop,hope-component of understanding,und@hop = the hope aspect hidden in understanding,cognitive
hop@und,understanding-component of hope,hop@und = the understanding aspect within hope,cognitive
und@cou,courage-component of understanding,und@cou = the courage aspect hidden in understanding,cognitive
cou@und,understanding-component of courage,cou@und = the understanding aspect within courage,cognitive
und@cow,coward-component of understanding,und@cow = the coward aspect hidden in understanding,cognitive
cow@und,understanding-component of coward,cow@und = the understanding aspect within coward,cognitive
und@lov,love-component of understanding,und@lov = the love aspect hidden in understanding,cognitive
lov@und,understanding-component of love,lov@und = the understanding aspect within love,cognitive
und@hat,hate-component of understanding,und@hat = the hate aspect hidden in understanding,cognitive
hat@und,understanding-component of hate,hat@und = the understanding aspect within hate,cognitive
und@pri,pride-component of understanding,und@pri = the pride aspect hidden in understanding,cognitive
pri@und,understanding-component of pride,pri@und = the understanding aspect within pride,cognitive
und@sha,shame-component of understanding,und@sha = the shame aspect hidden in understanding,cognitive
sha@und,understanding-component of shame,sha@und = the understanding aspect within shame,cognitive
und@bor,bored-component of understanding,und@bor = the bored aspect hidden in understanding,cognitive
bor@und,understanding-component of bored,bor@und = the understanding aspect within bored,cognitive
und@exc,excitement-component of understanding,und@exc = the excitement aspect hidden in understanding,cognitive
exc@und,understanding-component of excitement,exc@und = the understanding aspect within excitement,cognitive
und@anx,anxious-component of understanding,und@anx = the anxious aspect hidden in understanding,cognitive
anx@und,understanding-component of anxious,anx@und = the understanding aspect within anxious,cognitive
und@cal,calm-component of understanding,und@cal = the calm aspect hidden in understanding,cognitive
cal@und,understanding-component of calm,cal@und = the understanding aspect within calm,cognitive
und@cur,curious-component of understanding,und@cur = the curious aspect hidden in understanding,cognitive
cur@und,understanding-component of curious,cur@und = the understanding aspect within curious,cognitive
und@cre,creative-component of understanding,und@cre = the creative aspect hidden in understanding,cognitive
cre@und,understanding-component of creative,cre@und = the understanding aspect within creative,cognitive
und@pra,practical-component of understanding,und@pra = the practical aspect hidden in understanding,cognitive
pra@und,understanding-component of practical,pra@und = the understanding aspect within practical,cognitive
und@log,logical-component of understanding,und@log = the logical aspect hidden in understanding,cognitive
log@und,understanding-component of logical,log@und = the understanding aspect within logical,cognitive
und@ilg,illogical-component of understanding,und@ilg = the illogical aspect hidden in understanding,cognitive
ilg@und,understanding-component of illogical,ilg@und = the understanding aspect within illogical,cognitive
und@val,valid-component of understanding,und@val = the valid aspect hidden in understanding,cognitive
val@und,understanding-component of valid,val@und = the understanding aspect within valid,cognitive
und@fal,false-component of understanding,und@fal = the false aspect hidden in understanding,cognitive
fal@und,understanding-component of false,fal@und = the understanding aspect within false,cognitive
und@tru,true-component of understanding,und@tru = the true aspect hidden in understanding,cognitive
tru@und,understanding-component of true,tru@und = the understanding aspect within true,cognitive
und@par,paradoxical-component of understanding,und@par = the paradoxical aspect hidden in understanding,cognitive
par@und,understanding-component of paradoxical,par@und = the understanding aspect within paradoxical,cognitive
und@jus,justified-component of understanding,und@jus = the justified aspect hidden in understanding,cognitive
jus@und,understanding-component of justified,jus@und = the understanding aspect within justified,cognitive
und@int,intuition-component of understanding,und@int = the intuition aspect hidden in understanding,cognitive
int@und,understanding-component of intuition,int@und = the understanding aspect within intuition,cognitive
und@aim,aim-component of understanding,und@aim = the aim aspect hidden in understanding,cognitive
aim@und,understanding-component of aim,aim@und = the understanding aspect within aim,cognitive
und@pur,purpose-component of understanding,und@pur = the purpose aspect hidden in understanding,cognitive
pur@und,understanding-component of purpose,pur@und = the understanding aspect within purpose,cognitive
und@puz,puzzle-component of understanding,und@puz = the puzzle aspect hidden in understanding,cognitive
puz@und,understanding-component of puzzle,puz@und = the understanding aspect within puzzle,cognitive
und@wis,wise-component of understanding,und@wis = the wise aspect hidden in understanding,cognitive
wis@und,understanding-component of wise,wis@und = the understanding aspect within wise,cognitive
und@ign,ignorant-component of understanding,und@ign = the ignorant aspect hidden in understanding,cognitive
ign@und,understanding-component of ignorant,ign@und = the understanding aspect within ignorant,cognitive
thi@rea,reasoning-component of thinking,thi@rea = the reasoning aspect hidden in thinking,cognitive
rea@thi,thinking-component of reasoning,rea@thi = the thinking aspect within reasoning,cognitive
thi@ana,analyzing-component of thinking,thi@ana = the analyzing aspect hidden in thinking,cognitive
ana@thi,thinking-component of analyzing,ana@thi = the thinking aspect within analyzing,cognitive
thi@syn,synthesizing-component of thinking,thi@syn = the synthesizing aspect hidden in thinking,cognitive
syn@thi,thinking-component of synthesizing,syn@thi = the thinking aspect within synthesizing,cognitive
thi@ded,deducing-component of thinking,thi@ded = the deducing aspect hidden in thinking,cognitive
ded@thi,thinking-component of deducing,ded@thi = the thinking aspect within deducing,cognitive
thi@ind,inducing-component of thinking,thi@ind = the inducing aspect hidden in thinking,cognitive
ind@thi,thinking-component of inducing,ind@thi = the thinking aspect within inducing,cognitive
thi@abd,abducting-component of thinking,thi@abd = the abducting aspect hidden in thinking,cognitive
abd@thi,thinking-component of abducting,abd@thi = the thinking aspect within abducting,cognitive
thi@hyp,hypothesizing-component of thinking,thi@hyp = the hypothesizing aspect hidden in thinking,cognitive
hyp@thi,thinking-component of hypothesizing,hyp@thi = the thinking aspect within hypothesizing,cognitive
thi@crt,certain-component of thinking,thi@crt = the certain aspect hidden in thinking,cognitive
crt@thi,thinking-component of certain,crt@thi = the thinking aspect within certain,cognitive
thi@prb,probable-component of thinking,thi@prb = the probable aspect hidden in thinking,cognitive
prb@thi,thinking-component of probable,prb@thi = the thinking aspect within probable,cognitive
thi@sus,suspect-component of thinking,thi@sus = the suspect aspect hidden in thinking,cognitive
sus@thi,thinking-component of suspect,sus@thi = the thinking aspect within suspect,cognitive
thi@dou,doubting-component of thinking,thi@dou = the doubting aspect hidden in thinking,cognitive
dou@thi,thinking-component of doubting,dou@thi = the thinking aspect within doubting,cognitive
thi@dub,doubt-component of thinking,thi@dub = the doubt aspect hidden in thinking,cognitive
dub@thi,thinking-component of doubt,dub@thi = the thinking aspect within doubt,cognitive
thi@gue,guess-component of thinking,thi@gue = the guess aspect hidden in thinking,cognitive
gue@thi,thinking-component of guess,gue@thi = the thinking aspect within guess,cognitive
thi@asu,assume-component of thinking,thi@asu = the assume aspect hidden in thinking,cognitive
asu@thi,thinking-component of assume,asu@thi = the thinking aspect within assume,cognitive
thi@evi,evidence-component of thinking,thi@evi = the evidence aspect hidden in thinking,cognitive
evi@thi,thinking-component of evidence,evi@thi = the thinking aspect within evidence,cognitive
thi@bel,believing-component of thinking,thi@bel = the believing aspect hidden in thinking,cognitive
bel@thi,thinking-component of believing,bel@thi = the thinking aspect within believing,cognitive
thi@lik,likely-component of thinking,thi@lik = the likely aspect hidden in thinking,cognitive
lik@thi,thinking-component of likely,lik@thi = the thinking aspect within likely,cognitive
thi@foc,focus-component of thinking,thi@foc = the focus aspect hidden in thinking,cognitive
foc@thi,thinking-component of focus,foc@thi = the thinking aspect within focus,cognitive
thi@atn,attention-component of thinking,thi@atn = the attention aspect hidden in thinking,cognitive
atn@thi,thinking-component of attention,atn@thi = the thinking aspect within attention,cognitive
thi@con,concentrate-component of thinking,thi@con = the concentrate aspect hidden in thinking,cognitive
con@thi,thinking-component of concentrate,con@thi = the thinking aspect within concentrate,cognitive
thi@dis,distract-component of thinking,thi@dis = the distract aspect hidden in thinking,cognitive
dis@thi,thinking-component of distract,dis@thi = the thinking aspect within distract,cognitive
thi@obs,observe-component of thinking,thi@obs = the observe aspect hidden in thinking,cognitive
obs@thi,thinking-component of observe,obs@thi = the thinking aspect within observe,cognitive
thi@per,perceive-component of thinking,thi@per = the perceive aspect hidden in thinking,cognitive
per@thi,thinking-component of perceive,per@thi = the thinking aspect within perceive,cognitive
thi@abl,able-component of thinking,thi@abl = the able aspect hidden in thinking,cognitive
abl@thi,thinking-component of able,abl@thi = the thinking aspect within able,cognitive
thi@aud,hearing-component of thinking,thi@aud = the hearing aspect hidden in thinking,cognitive
aud@thi,thinking-component of hearing,aud@thi = the thinking aspect within hearing,cognitive
thi@see,seeing-component of thinking,thi@see = the seeing aspect hidden in thinking,cognitive
see@thi,thinking-component of seeing,see@thi = the thinking aspect within seeing,cognitive
thi@sme,smelling-component of thinking,thi@sme = the smelling aspect hidden in thinking,cognitive
sme@thi,thinking-component of smelling,sme@thi = the thinking aspect within smelling,cognitive
thi@cle,clear-component of thinking,thi@cle = the clear aspect hidden in thinking,cognitive
cle@thi,thinking-component of clear,cle@thi = the thinking aspect within clear,cognitive
thi@dar,dark-component of thinking,thi@dar = the dark aspect hidden in thinking,cognitive
dar@thi,thinking-component of dark,dar@thi = the thinking aspect within dark,cognitive
thi@luc,lucid-component of thinking,thi@luc = the lucid aspect hidden in thinking,cognitive
luc@thi,thinking-component of lucid,luc@thi = the thinking aspect within lucid,cognitive
thi@clo,cloudy-component of thinking,thi@clo = the cloudy aspect hidden in thinking,cognitive
clo@thi,thinking-component of cloudy,clo@thi = the thinking aspect within cloudy,cognitive
thi@ful,full-component of thinking,thi@ful = the full aspect hidden in thinking,cognitive
ful@thi,thinking-component of full,ful@thi = the thinking aspect within full,cognitive
thi@emp,empty-component of thinking,thi@emp = the empty aspect hidden in thinking,cognitive
emp@thi,thinking-component of empty,emp@thi = the thinking aspect within empty,cognitive
thi@abs,abstract-component of thinking,thi@abs = the abstract aspect hidden in thinking,cognitive
abs@thi,thinking-component of abstract,abs@thi = the thinking aspect within abstract,cognitive
thi@rem,remembering-component of thinking,thi@rem = the remembering aspect hidden in thinking,cognitive
rem@thi,thinking-component of remembering,rem@thi = the thinking aspect within remembering,cognitive
