expression,meaning,example,domain
crit@tem,critical temperature,crit@tem = phase boundary,physical
cru*gri,crushing-grinding,cru*gri = mechanical breakdown,physical
cru*gri*pol,crushing-grinding-polishing,cru*gri*pol = refinement,physical
cru@bri,crushing brittle,cru@bri = fragmentation,physical
cru^0.4,light crushing,cru^0.4 = compaction,physical
cru^0.9,complete crushing,cru^0.9 = pulverization,physical
cry given tim^0.3,slow crystallization,cry given tim^0.3 = ice formation,physical
cry given tim^0.5,moderate crystallization,cry given tim^0.5 = salt growth,physical
cry@sol,crystalline in solid,cry@sol = crystal structure,physical
cry^0.7,crystallizing,cry^0.7 = forming crystals,physical
cry^0.8,rapid crystallization,cry^0.8 = salt precipitation,physical
cryst*amorp,crystalline to amorphous,cryst*amorp = vitrification,physical
cryst*mol,molecules crystallizing,cryst*mol = lattice formation,physical
cryst@sol,crystal in solid,cryst@sol = polycrystalline,physical
cut@har,cutting with har aspect,cut@har = cutting affecting har,physical
cut@smo,cutting with smo aspect,cut@smo = cutting affecting smo,physical
cut@sol,cutting solid,cut@sol = material division,physical
cut@tem,cutting with tem aspect,cut@tem = cutting affecting tem,physical
cut@vis,cutting with vis aspect,cut@vis = cutting affecting vis,physical
cut^0.3,shallow cut,cut^0.3 = surface scratch,physical
cut^0.9,deep cut,cut^0.9 = complete separation,physical
cyc@tim,cycle over time,cyc@tim = periodic cycle,physical
dec given fre^0.3,low-friction deceleration,dec given fre^0.3 = coasting,physical
dec^0.8,strong deceleration,dec^0.8 = braking,physical
def*cryst,crystal defects,def*cryst = imperfections,physical
den@big,density in bulk,den@big = bulk density,physical
den@crit,at critical density,den@crit = supercritical,physical
den@poi,dense porous paradox,den@poi = aerated structure,physical
den@sma,density at small scale,den@sma = point density,physical
den^0.2,20% den,den^0.2 = 20% effect,physical
den^0.4,40% den,den^0.4 = 40% effect,physical
den^0.6,60% den,den^0.6 = 60% effect,physical
den^0.8,80% den,den^0.8 = 80% effect,physical
dep given col,deposition in cold,dep given col = frost formation,physical
dep^0.6,moderate deposition,dep^0.6 = frost forming,physical
dif@tem,diffusion at temperature,dif@tem = thermal diffusion,physical
dnt*war,dented and warped,dnt*war = damaged metal,physical
dry given liq,evaporating liquid,dry given liq = drying,physical
dry given tim,time-dependent drying,dry given tim = desiccation,physical
dry^0.2,20% dry,dry^0.2 = 20% effect,physical
dry^0.4,40% dry,dry^0.4 = 40% effect,physical
dry^0.5,moderately dry,dry^0.5 = somewhat dry,physical
dry^0.6,60% dry,dry^0.6 = 60% effect,physical
dry^0.8,80% dry,dry^0.8 = 80% effect,physical
dry^0.9,completely dry,dry^0.9 = desiccated,physical
dul^0.9,extremely dull,dul^0.9 = non-reflective,physical
dus*flo,dust-wind flow,dus*flo = dust storm,physical
dus*gas,dust cloud,dus*gas = aerosol,physical
dus@fin,fine dust,dus@fin = suspended particles,physical
dus^0.3,light dust,dus^0.3 = barely visible,physical
dust*agglom*compac*solid,dust consolidation,dust*agglom*compac*solid = compaction,physical
ela^0.2,20% ela,ela^0.2 = 20% effect,physical
ela^0.4,40% ela,ela^0.4 = 40% effect,physical
ela^0.6,60% ela,ela^0.6 = 60% effect,physical
ela^0.8,80% ela,ela^0.8 = 80% effect,physical
ela^0.9,extremely elastic,ela^0.9 = spring mechanism,physical
emi@gas,emi property in gas,emi@gas = emi of gas,physical
emi@liq,emi property in liq,emi@liq = emi of liq,physical
emi@met,emi property in met,emi@met = emi of met,physical
emi@sol,emi property in sol,emi@sol = emi of sol,physical
emi^0.2,weak emission,emi^0.2 = faint luminescence,physical
emi^0.8,strong emission,emi^0.8 = incandescent glow,physical
energy@bre,energy in bre,energy@bre = energy for bre,physical
energy@eva,energy in eva,energy@eva = energy for eva,physical
energy@mel,energy in mel,energy@mel = energy for mel,physical
energy@mix,energy in mix,energy@mix = energy for mix,physical
energy@mov,energy in mov,energy@mov = energy for mov,physical
ero given tim^1.0,rapid erosion,ero given tim^1.0 = flash flood cut,physical
ero^0.3,slow erosion,ero^0.3 = geological timescale,physical
ero^0.8,rapid erosion,ero^0.8 = flood-driven,physical
eva given tim^0.8,rapid evaporation,eva given tim^0.8 = desert drying,physical
eva*gas,evaporation-gasification,eva*gas = vaporization,physical
eva@1.0,boiling point,eva@1.0 = 100°C transition,physical
eva^0.2,slight evaporation,eva^0.2 = water barely changing,physical
eva^0.9,rapid evaporation,eva^0.9 = boiling,physical
eva±con,evaporation-condensation,eva±con = vapor equilibrium,physical
eva±con given tim,evaporation equilibrium time,eva±con given tim = saturation,physical
exp given hot,heat-driven expansion,exp given hot = dilation,physical
exp^0.5,moderate expansion,exp^0.5 = thermal growth,physical
exp±con,thermal equilibrium,exp±con = expansion-contraction,physical
exp±con given tim,thermal cycling,exp±con given tim = expansion cycle,physical
fal*acc@gra,gravitational acceleration,fal*acc@gra = free fall,physical
fal@gra,gravitational fall,fal@gra = descent,physical
fal@gra^0.5,moderate gravity fall,fal@gra^0.5 = low-g environment,physical
fer^0.6,moderate fermentation,fer^0.6 = decomposition,physical
fiber@mat,fiber in material,fiber@mat = fibrous,physical
film@gas,film of gas,film@gas = film structure,physical
film@liq,film of liq,film@liq = film structure,physical
film@sol,film of sol,film@sol = film structure,physical
fin^0.9,fine texture,fin^0.9 = smooth weave,physical
fir given hot^1.0,maximum fire intensity,fir given hot^1.0 = inferno,physical
fir given oxy^0.8,limited oxygen burning,fir given oxy^0.8 = slow burn,physical
fir*gas,combustion/flame,fir*gas = burning state,physical
fir*gas@hot,intense flame,fir*gas@hot = torch fire,physical
fir@hot,hot fire state,fir@hot = intense burning,physical
fle given hot given tim,heat-time relaxation,fle given hot given tim = stress relief,physical
fle^0.2,20% fle,fle^0.2 = 20% effect,physical
fle^0.4,40% fle,fle^0.4 = 40% effect,physical
fle^0.6,60% fle,fle^0.6 = 60% effect,physical
fle^0.8,80% fle,fle^0.8 = 80% effect,physical
fle^0.9,extremely flexible,fle^0.9 = rubber-like,physical
flo given pre,pressure-driven flow,flo given pre = fountain,physical
flo*pre,flow-pressure coupling,flo*pre = driven flow,physical
flo*tur,turbulent flow,flo*tur = chaotic motion,physical
flo@down,flo in down direction,flo@down = directed flo,physical
flo@in,flo in in direction,flo@in = directed flo,physical
flo@tim,flow over time,flo@tim = flow rate,physical
flo@up,flo in up direction,flo@up = directed flo,physical
flo^0.2,barely flowing,flo^0.2 = viscous ooze,physical
flo^0.8,rapid flowing,flo^0.8 = river current,physical
flu without sti,flu absence of sti,flu without sti = pure flu,physical
flu without vis,invisible flow,flu without vis = gas flow,physical
flu@vis,invisible fluid,flu@vis = superfluid,physical
flu^0.1,barely fluid,flu^0.1 = honey-like,physical
flu^0.2,20% flu,flu^0.2 = 20% effect,physical
flu^0.4,40% flu,flu^0.4 = 40% effect,physical
flu^0.5,moderately fluid,flu^0.5 = oil-like,physical
flu^0.6,60% flu,flu^0.6 = 60% effect,physical
flu^0.8,80% flu,flu^0.8 = 80% effect,physical
flu^0.9,extremely fluid,flu^0.9 = water-like,physical
flu±sti,fluidity-stickiness,flu±sti = viscosity balance,physical
fog given col,cold fog,fog given col = condensation,physical
fog*col,cold fog formation,fog*col = frost-producing,physical
fog@vis,visible fog,fog@vis = suspended droplets,physical
fog^0.5,moderate fog,fog^0.5 = haze condition,physical
force@bre,force in bre,force@bre = force for bre,physical
force@eva,force in eva,force@eva = force for eva,physical
force@mel,force in mel,force@mel = force for mel,physical
force@mix,force in mix,force@mix = force for mix,physical
force@mov,force in mov,force@mov = force for mov,physical
fre given mov,friction from motion,fre given mov = resistance,physical
fre*sti,adhesive friction,fre*sti = sticky resistance,physical
fre^0.1,low friction,fre^0.1 = ice contact,physical
fre^0.3,early freezing,fre^0.3 = water crystallizing,physical
fre^0.8,advanced freezing,fre^0.8 = nearly solid,physical
fre^0.9,high friction,fre^0.9 = rough sliding,physical
fus*sol,fusion-solidification,fus*sol = welding process,physical
fus^0.6,moderate fusion,fus^0.6 = partial melting,physical
gas given pre,pressure-compressed gas,gas given pre = dense,physical
gas given pre^0.9,compressed gas,gas given pre^0.9 = high-pressure,physical
gas given rot,rotating gas,gas given rot = vortex,physical
gas given sma,pressurized gas pocket,gas given sma = bubble,physical
gas without sol,pure gas,gas without sol = monatomic,physical
gas*con*liq*fre*sol,complete condensation,gas*con*liq*fre*sol = full cycle,physical
gas*cond*cryst*solid,crystal formation,gas*cond*cryst*solid = solidification,physical
gas*ion,gas-ionized,gas*ion = plasma formation,physical
gas*tur,turbulent gas,gas*tur = turbulence,physical
gas@col,col aspect of gas,gas@col = col in gas,physical
gas@dry,dry aspect of gas,gas@dry = dry in gas,physical
gas@har,har aspect of gas,gas@har = har in gas,physical
gas@hot,hot aspect of gas,gas@hot = hot in gas,physical
gas@pre^0.2,gas with 20% pre,gas@pre^0.2 = 20% affected gas,physical
gas@pre^0.4,gas with 40% pre,gas@pre^0.4 = 40% affected gas,physical
gas@pre^0.6,gas with 60% pre,gas@pre^0.6 = 60% affected gas,physical
gas@pre^0.8,gas with 80% pre,gas@pre^0.8 = 80% affected gas,physical
gas@ruf,ruf aspect of gas,gas@ruf = ruf in gas,physical
gas@smo,smo aspect of gas,gas@smo = smo in gas,physical
gas@sof,sof aspect of gas,gas@sof = sof in gas,physical
gas@vis,visible gas state,gas@vis = fog/steam,physical
gas@wet,wet aspect of gas,gas@wet = wet in gas,physical
gas^0.1,10% gas state,gas^0.1 = trace gas,physical
gas^0.2,20% gas state,gas^0.2 = light gas,physical
gas^0.3,30% gas state,gas^0.3 = partial gas,physical
gas^0.4,40% gas state,gas^0.4 = moderate gas,physical
gas^0.5,partial gas,gas^0.5 = vapor state,physical
gas^0.6,60% gas state,gas^0.6 = mostly gas,physical
gas^0.7,70% gas state,gas^0.7 = very gaseous,physical
gas^0.8,80% gas state,gas^0.8 = nearly pure gas,physical
gas^1.2,plasma state,gas^1.2 = ionized gas,physical
geo given pre^0.9,deep geological pressure,geo given pre^0.9 = metamorphic,physical
geo*big,geological-scale size,geo*big = continental,physical
gla given col^0.8,glass with 80% col condition,gla given col^0.8 = modified glass,physical
gla given har^0.3,glass with 30% har condition,gla given har^0.3 = modified glass,physical
gla given har^0.7,glass with 70% har condition,gla given har^0.7 = modified glass,physical
gla given hot,softened glass,gla given hot = moldable,physical
gla given hot^0.6,glass with 60% hot condition,gla given hot^0.6 = modified glass,physical
gla given ruf^0.4,glass with 40% ruf condition,gla given ruf^0.4 = modified glass,physical
gla given smo^0.7,glass with 70% smo condition,gla given smo^0.7 = modified glass,physical
gla given sof^0.5,glass with 50% sof condition,gla given sof^0.5 = modified glass,physical
gla without bri,frosted glass,gla without bri = non-reflective,physical
gla*bri,shiny glass,gla*bri = polished reflective,physical
gla@bri^0.2,gla with 20% bri,gla@bri^0.2 = 20% affected gla,physical
gla@bri^0.4,gla with 40% bri,gla@bri^0.4 = 40% affected gla,physical
gla@bri^0.6,gla with 60% bri,gla@bri^0.6 = 60% affected gla,physical
gla@bri^0.8,gla with 80% bri,gla@bri^0.8 = 80% affected gla,physical
gla@sol,glass in solid,gla@sol = glass composite,physical
gla@vis,transparent solid,gla@vis = vitreous,physical
gra^0.5,reduced gravity,gra^0.5 = lunar gravity,physical
gra^0.8,coarse grain,gra^0.8 = wood grain visible,physical
gra^1.0,standard gravity,gra^1.0 = earth gravity,physical
grain*cryst,crystalline graining,grain*cryst = grain boundary,physical
grain@par,grain in particle,grain@par = granular,physical
gri@har,grinding hard,gri@har = particle formation,physical
gri^0.5,moderate grinding,gri^0.5 = particle reduction,physical
gri^0.9,fine grinding,gri^0.9 = powder production,physical
gum^0.2,20% gum,gum^0.2 = 20% effect,physical
gum^0.4,40% gum,gum^0.4 = 40% effect,physical
gum^0.6,60% gum,gum^0.6 = 60% effect,physical
gum^0.8,very gummy,gum^0.8 = sticky tar,physical
har > sof,hardness dominance,har > sof = rigid structure,physical
har given hot given pre,heat-pressure hardening,har given hot given pre = temper effect,physical
har given mov^0.5,har under moderate mov,har given mov^0.5 = har at medium mov,physical
har given pre^0.5,har under moderate pre,har given pre^0.5 = har at medium pre,physical
har given tem^0.5,har under moderate tem,har given tem^0.5 = har at medium tem,physical
har given tim^0.5,har under moderate tim,har given tim^0.5 = har at medium tim,physical
har without bri,hard but dull,har without bri = matte hardness,physical
har without sof,pure hardness,har without sof = rigid,physical
har*bri,hard-bright combination,har*bri = gemstone-like,physical
har*dur*str,hardness-durability-strength,har*dur*str = robust material,physical
har*sof,hard-soft duality,har*sof = structure with compliance,physical
har*sof*fle,hard-soft-flexible chain,har*sof*fle = adaptive material,physical
har@gas,har aspect of gas,har@gas = har in gas,physical
har@liq,har aspect of liq,har@liq = har in liq,physical
har@met,metal hardness,har@met = yield strength,physical
har@sol,har aspect of sol,har@sol = har in sol,physical
har@sto,stone hardness,har@sto = Mohs scale,physical
har@woo,har aspect of woo,har@woo = har in woo,physical
har^0.1,10% hardness,har^0.1 = 10% hard,physical
har^0.15,15% har intensity,har^0.15 = 15% effect,physical
har^0.25,25% har intensity,har^0.25 = 25% effect,physical
har^0.3,30% hardness,har^0.3 = 30% hard,physical
har^0.35,35% har intensity,har^0.35 = 35% effect,physical
har^0.45,45% hard,har^0.45 = moderately hard,physical
har^0.5,50% hardness,har^0.5 = 50% hard,physical
har^0.55,55% hard,har^0.55 = quite hard,physical
har^0.65,65% hard,har^0.65 = very hard,physical
har^0.7,70% hardness,har^0.7 = 70% hard,physical
har^0.75,75% hard,har^0.75 = extremely hard,physical
har^0.85,85% hard,har^0.85 = nearly unbreakable,physical
har^0.9,90% hardness,har^0.9 = 90% hard,physical
harm@osc,harmonic oscillation,harm@osc = harmonic motion,physical
har±sof,hardness-softness symmetry,har±sof = elastic limit,physical
hea without lig,hea absence of lig,hea without lig = pure hea,physical
hea@sma,dense small object,hea@sma = tungsten pellet,physical
hea^0.1,10% heavy,hea^0.1 = 10% weight,physical
hea^0.3,30% heavy,hea^0.3 = 30% weight,physical
hea^0.5,50% heavy,hea^0.5 = 50% weight,physical
hea^0.7,70% heavy,hea^0.7 = 70% weight,physical
hea^0.9,90% heavy,hea^0.9 = 90% weight,physical
heat@bre,heat in bre,heat@bre = heat for bre,physical
heat@eva,heat in eva,heat@eva = heat for eva,physical
heat@mel,heat in mel,heat@mel = heat for mel,physical
heat@mix,heat in mix,heat@mix = heat for mix,physical
heat@mov,heat in mov,heat@mov = heat for mov,physical
hot > col,more hot than cold,hot > col = superheated state,physical
hot given sol,heated solid,hot given sol = thermal expansion,physical
hot without col,hot absence of col,hot without col = pure hot,physical
hot without mov,hot but still,hot without mov = stagnant heat,physical
hot*col,thermal gradient,hot*col = temperature shock,physical
hot*col*pre,thermal-pressure extreme,hot*col*pre = geothermal,physical
hot*col@sto,thermal shock in stone,hot*col@sto = cracking,physical
hot*gas,thermal gas expansion,hot*gas = convection current,physical
hot*rad,hot-radiating,hot*rad = thermal emission,physical
hot@gas,hot gas,hot@gas = buoyancy,physical
hot@liq,hot aspect of liq,hot@liq = hot in liq,physical
hot@met,heated metal,hot@met = thermal expansion,physical
hot@sol,hot aspect of sol,hot@sol = hot in sol,physical
hot@woo,hot aspect of woo,hot@woo = hot in woo,physical
hot^0.0 ... hot^1.0,cold to hot spectrum,hot^0.0 ... hot^1.0 = temperature range,physical
hot^0.05,5% hot,hot^0.05 = barely warm,physical
hot^0.1,10% hot,hot^0.1 = 10% temperature,physical
hot^0.15,15% hot intensity,hot^0.15 = 15% effect,physical
hot^0.25,25% hot intensity,hot^0.25 = 25% effect,physical
hot^0.3,30% hot,hot^0.3 = 30% temperature,physical
hot^0.35,35% hot intensity,hot^0.35 = 35% effect,physical
hot^0.45,45% hot,hot^0.45 = hot,physical
hot^0.5,50% hot,hot^0.5 = 50% temperature,physical
hot^0.55,55% hot,hot^0.55 = quite hot,physical
hot^0.65,65% hot,hot^0.65 = very hot,physical
hot^0.7,70% hot,hot^0.7 = 70% temperature,physical
hot^0.75,75% hot,hot^0.75 = extremely hot,physical
hot^0.85,85% hot,hot^0.85 = scorching,physical
hot^0.9,90% hot,hot^0.9 = 90% temperature,physical
hot^0.95,95% hot,hot^0.95 = molten,physical
hot^1.0*pre^1.0,maximum heat and pressure,hot^1.0*pre^1.0 = stellar core,physical
hot±cold,heat-cold symmetry,hot±cold = thermal neutral,physical
hum*tem,humidity-temperature,hum*tem = comfort index,physical
ice given col^0.8,ice with 80% col condition,ice given col^0.8 = modified ice,physical
ice given har^0.3,ice with 30% har condition,ice given har^0.3 = modified ice,physical
