expression,meaning,example,domain
abl*await,able ∧ wait for completion,abl*await,cognitive-technical
abl*bag,able ∧ bag,abl*bag,cognitive-motion
abl*bak,able ∧ backup,abl*bak,cognitive-technical
abl*ban,able ∧ banana,abl*ban,cognitive-concrete
abl*bar,able ∧ baraka,abl*bar,cognitive-ethics
abl*bat,able ∧ bathroom,abl*bat,cognitive-sensory
abl*bed,able ∧ bedroom,abl*bed,cognitive-sensory
abl*bee,able ∧ beer,abl*bee,cognitive-concrete
abl*beff,able ∧ beef,abl*beff,cognitive-concrete
abl*ben,able ∧ bend,abl*ben,cognitive-process
abl*bit,able ∧ bitter,abl*bit,cognitive-concrete
abl*bld,able ∧ build,abl*bld,cognitive-process
abl*ble,able ∧ blessing,abl*ble,cognitive-ethics
abl*bng,able ∧ bring,abl*bng,cognitive-process
abl*bnk,able ∧ bank,abl*bnk,cognitive-sensory
abl*bod,able ∧ awakening,abl*bod,cognitive-ethics
abl*boi,able ∧ boil,abl*boi,cognitive-concrete
abl*boo,able ∧ book,abl*boo,cognitive-motion
abl*bot,able ∧ automated agent,abl*bot,cognitive-technical
abl*bow,able ∧ bowl,abl*bow,cognitive-motion
abl*box,able ∧ box,abl*box,cognitive-motion
abl*brk,able ∧ break,abl*brk,cognitive-process
abl*cas,able ∧ castle,abl*cas,cognitive-sensory
abl*cei,able ∧ ceiling,abl*cei,cognitive-sensory
abl*cer,able ∧ ceremony,abl*cer,cognitive-social
abl*chi,able ∧ child,abl*chi,cognitive-social
abl*cle,able ∧ clear,abl*cle,cognitive-communication
abl*clm,able ∧ climb,abl*clm,cognitive-process
abl*cri,able ∧ criticize,abl*cri,cognitive-communication
abl*cru,able ∧ cruel,abl*cru,cognitive-social
abl*cul,able ∧ culture,abl*cul,cognitive-social
abl*cup,able ∧ cup,abl*cup,cognitive-motion
abl*cus,able ∧ custom,abl*cus,cognitive-social
abl*der,able ∧ virtue,abl*der,cognitive-ethics
abl*dut,able ∧ duty,abl*dut,cognitive-social
abl*ham,able ∧ hammer,abl*ham,cognitive-motion
abl*if,process-state: able creating condition,abl*if,process_state
abl*iff,process-state: able creating if-then,abl*iff,process_state
abl*ity,process-state: able creating quality,abl*ity,process_state
abl*opn,process-state: able creating open,abl*opn,process_state
abl*pha,process-state: able creating phase,abl*pha,process_state
abl*phs,process-state: able creating phase,abl*phs,process_state
abl*pok,process-state: able creating poke,abl*pok,process_state
abl*whn,process-state: able creating when,abl*whn,process_state
abl*wou,process-state: able creating would,abl*wou,process_state
abo*abd,above ∧ abduct,abo*abd,spatial-cognitive
abo*abl,above ∧ able,abo*abl,spatial-cognitive
abo*abs,above ∧ abstract,abo*abs,spatial-cognitive
abo*acc,above ∧ accelerate,abo*acc,spatial-temporal
abo*acc*cer,above ∧ accelerate ∧ ceremony,abo*acc*cer,ternary
abo*acc*chi,above ∧ accelerate ∧ child,abo*acc*chi,ternary
abo*acc*cru,above ∧ accelerate ∧ cruel,abo*acc*cru,ternary
abo*acc*cul,above ∧ accelerate ∧ culture,abo*acc*cul,ternary
abo*ack,above ∧ acknowledge,abo*ack,spatial-agent
abo*act,above ∧ action,abo*act,spatial-agent
abo*ada,above ∧ adapt,abo*ada,spatial-agent
abo*aft,above ∧ after,abo*aft,spatial-temporal
abo*aft*cer,above ∧ after ∧ ceremony,abo*aft*cer,ternary
abo*aft*chi,above ∧ after ∧ child,abo*aft*chi,ternary
abo*aft*cru,above ∧ after ∧ cruel,abo*aft*cru,ternary
abo*aft*cul,above ∧ after ∧ culture,abo*aft*cul,ternary
abo*age,above ∧ agent,abo*age,spatial-abstract
abo*agg,above ∧ aggregate,abo*agg,spatial-agent
abo*agr,above ∧ agreeing,abo*agr,spatial-communication
abo*agt,above ∧ agent,abo*agt,spatial-agent
abo*ahi,above ∧ ahimsa,abo*ahi,spatial-ethics
abo*aim,above ∧ aim,abo*aim,spatial-cognitive
abo*ale,above ∧ aleatoric uncertainty (inherently random),abo*ale,spatial-agent
abo*all,above ∧ all,abo*all,spatial-abstract
abo*alp,above ∧ alpha,abo*alp,spatial-abstract
abo*alt,above ∧ alternatively,abo*alt,spatial-abstract
abo*alw,above ∧ always,abo*alw,spatial-temporal
abo*alw*cer,above ∧ always ∧ ceremony,abo*alw*cer,ternary
abo*alw*chi,above ∧ always ∧ child,abo*alw*chi,ternary
abo*alw*cru,above ∧ always ∧ cruel,abo*alw*cru,ternary
abo*alw*cul,above ∧ always ∧ culture,abo*alw*cul,ternary
abo*amb,above ∧ many meanings,abo*amb,spatial-abstract
abo*anc,above ∧ ancient,abo*anc,spatial-abstract
abo*ang,above ∧ anger,abo*ang,spatial-cognitive
abo*ani,above ∧ animal,abo*ani,spatial-living
abo*ans,above ∧ answer,abo*ans,spatial-communication
abo*ant,above ∧ ant,abo*ant,spatial-living
abo*anx,above ∧ anxious,abo*anx,spatial-cognitive
abo*api,above ∧ interface,abo*api,spatial-technical
abo*apl,above ∧ apple,abo*apl,spatial-concrete
abo*app,above ∧ application,abo*app,spatial-technical
abo*apt,above ∧ apartment,abo*apt,spatial-sensory
abo*aret,above ∧ arete,abo*aret,spatial-ethics
abo*arg,above ∧ arguing,abo*arg,spatial-communication
abo*ask,above ∧ asking,abo*ask,spatial-communication
abo*async,above ∧ not synchronized concurrent,abo*async,spatial-technical
abo*avi,above ∧ bird,abo*avi,spatial-living
abo*avo,above ∧ avoid,abo*avo,spatial-process
abo*await,above ∧ wait for completion,abo*await,spatial-technical
abo*bac,space blend: above + backward,abo*bac,space_internal
abo*bag,above ∧ bag,abo*bag,spatial-motion
abo*bak,above ∧ backup,abo*bak,spatial-technical
abo*ban,above ∧ banana,abo*ban,spatial-concrete
abo*bar,above ∧ baraka,abo*bar,spatial-ethics
abo*bat,above ∧ bathroom,abo*bat,spatial-sensory
abo*bed,above ∧ bedroom,abo*bed,spatial-sensory
abo*bee,above ∧ beer,abo*bee,spatial-concrete
abo*bef,above ∧ before,abo*bef,spatial-temporal
abo*bef*cer,above ∧ before ∧ ceremony,abo*bef*cer,ternary
abo*bef*chi,above ∧ before ∧ child,abo*bef*chi,ternary
abo*bef*cru,above ∧ before ∧ cruel,abo*bef*cru,ternary
abo*bef*cul,above ∧ before ∧ culture,abo*bef*cul,ternary
abo*beff,above ∧ beef,abo*beff,spatial-concrete
abo*beg,above ∧ beginning,abo*beg,spatial-temporal
abo*bel,space blend: above + below,abo*bel,space_internal
abo*ben,above ∧ bend,abo*ben,spatial-process
abo*ber,above ∧ berry,abo*ber,spatial-living
abo*bir,above ∧ birth,abo*bir,spatial-temporal
abo*bit,above ∧ bitter,abo*bit,spatial-concrete
abo*bld,above ∧ build,abo*bld,spatial-process
abo*ble,above ∧ blessing,abo*ble,spatial-ethics
abo*blo,above ∧ blood,abo*blo,spatial-living
abo*bng,above ∧ bring,abo*bng,spatial-process
abo*bnk,above ∧ bank,abo*bnk,spatial-sensory
abo*bod,above ∧ awakening,abo*bod,spatial-ethics
abo*boi,above ∧ boil,abo*boi,spatial-concrete
abo*bon,above ∧ bone,abo*bon,spatial-living
abo*boo,above ∧ book,abo*boo,spatial-motion
abo*bot,above ∧ automated agent,abo*bot,spatial-technical
abo*bow,above ∧ bowl,abo*bow,spatial-motion
abo*box,above ∧ box,abo*box,spatial-motion
abo*brk,above ∧ break,abo*brk,spatial-process
abo*cas,above ∧ castle,abo*cas,spatial-sensory
abo*cei,above ∧ ceiling,abo*cei,spatial-sensory
abo*cen,space blend: above + center,abo*cen,space_internal
abo*cer,above ∧ ceremony,abo*cer,spatial-social
abo*chi,above ∧ child,abo*chi,spatial-social
abo*cle,above ∧ clear,abo*cle,spatial-communication
abo*clm,above ∧ climb,abo*clm,spatial-process
abo*cri,above ∧ criticize,abo*cri,spatial-communication
abo*cru,above ∧ cruel,abo*cru,spatial-social
abo*cul,above ∧ culture,abo*cul,spatial-social
abo*cup,above ∧ cup,abo*cup,spatial-motion
abo*cus,above ∧ custom,abo*cus,spatial-social
abo*der,above ∧ virtue,abo*der,spatial-ethics
abo*dut,above ∧ duty,abo*dut,spatial-social
abo*edg,space blend: above + edge,abo*edg,space_internal
abo*far,space blend: above + far,abo*far,space_internal
abo*for,space blend: above + forward,abo*for,space_internal
abo*ham,above ∧ hammer,abo*ham,spatial-motion
abo*lft,space blend: above + lift,abo*lft,space_internal
abo*nea,space blend: above + near,abo*nea,space_internal
abo*top,space blend: above + top,abo*top,space_internal
abs*ack,abstract ∧ acknowledge,abs*ack,cognitive-agent
abs*act,abstract ∧ action,abs*act,cognitive-agent
abs*ada,abstract ∧ adapt,abs*ada,cognitive-agent
abs*age,abstract ∧ agent,abs*age,cognitive-abstract
abs*agg,abstract ∧ aggregate,abs*agg,cognitive-agent
abs*agr,abstract ∧ agreeing,abs*agr,cognitive-communication
abs*agr*cer,abstract ∧ agreeing ∧ ceremony,abs*agr*cer,ternary
abs*agr*chi,abstract ∧ agreeing ∧ child,abs*agr*chi,ternary
abs*agr*cru,abstract ∧ agreeing ∧ cruel,abs*agr*cru,ternary
abs*agr*cul,abstract ∧ agreeing ∧ culture,abs*agr*cul,ternary
abs*agt,abstract ∧ agent,abs*agt,cognitive-agent
abs*ahi,abstract ∧ ahimsa,abs*ahi,cognitive-ethics
abs*ale,abstract ∧ aleatoric uncertainty (inherently random),abs*ale,cognitive-agent
abs*all,abstract ∧ all,abs*all,cognitive-abstract
abs*alp,abstract ∧ alpha,abs*alp,cognitive-abstract
abs*alt,abstract ∧ alternatively,abs*alt,cognitive-abstract
abs*amb,abstract ∧ many meanings,abs*amb,cognitive-abstract
abs*anc,abstract ∧ ancient,abs*anc,cognitive-abstract
abs*ans,abstract ∧ answer,abs*ans,cognitive-communication
abs*ans*cer,abstract ∧ answer ∧ ceremony,abs*ans*cer,ternary
abs*ans*chi,abstract ∧ answer ∧ child,abs*ans*chi,ternary
abs*ans*cru,abstract ∧ answer ∧ cruel,abs*ans*cru,ternary
abs*ans*cul,abstract ∧ answer ∧ culture,abs*ans*cul,ternary
abs*api,abstract ∧ interface,abs*api,cognitive-technical
abs*apl,abstract ∧ apple,abs*apl,cognitive-concrete
abs*app,abstract ∧ application,abs*app,cognitive-technical
abs*apt,abstract ∧ apartment,abs*apt,cognitive-sensory
abs*aret,abstract ∧ arete,abs*aret,cognitive-ethics
abs*arg,abstract ∧ arguing,abs*arg,cognitive-communication
abs*arg*cer,abstract ∧ arguing ∧ ceremony,abs*arg*cer,ternary
abs*arg*chi,abstract ∧ arguing ∧ child,abs*arg*chi,ternary
abs*arg*cru,abstract ∧ arguing ∧ cruel,abs*arg*cru,ternary
abs*arg*cul,abstract ∧ arguing ∧ culture,abs*arg*cul,ternary
abs*ask,abstract ∧ asking,abs*ask,cognitive-communication
abs*ask*cer,abstract ∧ asking ∧ ceremony,abs*ask*cer,ternary
abs*ask*chi,abstract ∧ asking ∧ child,abs*ask*chi,ternary
abs*ask*cru,abstract ∧ asking ∧ cruel,abs*ask*cru,ternary
abs*ask*cul,abstract ∧ asking ∧ culture,abs*ask*cul,ternary
abs*async,abstract ∧ not synchronized concurrent,abs*async,cognitive-technical
abs*avo,abstract ∧ avoid,abs*avo,cognitive-process
abs*await,abstract ∧ wait for completion,abs*await,cognitive-technical
abs*bag,abstract ∧ bag,abs*bag,cognitive-motion
abs*bak,abstract ∧ backup,abs*bak,cognitive-technical
abs*ban,abstract ∧ banana,abs*ban,cognitive-concrete
abs*bar,abstract ∧ baraka,abs*bar,cognitive-ethics
abs*bat,abstract ∧ bathroom,abs*bat,cognitive-sensory
abs*bed,abstract ∧ bedroom,abs*bed,cognitive-sensory
abs*bee,abstract ∧ beer,abs*bee,cognitive-concrete
abs*beff,abstract ∧ beef,abs*beff,cognitive-concrete
abs*ben,abstract ∧ bend,abs*ben,cognitive-process
abs*bit,abstract ∧ bitter,abs*bit,cognitive-concrete
abs*bld,abstract ∧ build,abs*bld,cognitive-process
abs*ble,abstract ∧ blessing,abs*ble,cognitive-ethics
abs*bng,abstract ∧ bring,abs*bng,cognitive-process
abs*bnk,abstract ∧ bank,abs*bnk,cognitive-sensory
abs*bod,abstract ∧ awakening,abs*bod,cognitive-ethics
abs*boi,abstract ∧ boil,abs*boi,cognitive-concrete
abs*boo,abstract ∧ book,abs*boo,cognitive-motion
abs*bot,abstract ∧ automated agent,abs*bot,cognitive-technical
abs*bow,abstract ∧ bowl,abs*bow,cognitive-motion
abs*box,abstract ∧ box,abs*box,cognitive-motion
abs*brk,abstract ∧ break,abs*brk,cognitive-process
abs*cas,abstract ∧ castle,abs*cas,cognitive-sensory
abs*cei,abstract ∧ ceiling,abs*cei,cognitive-sensory
abs*cer,abstract ∧ ceremony,abs*cer,cognitive-social
abs*chi,abstract ∧ child,abs*chi,cognitive-social
abs*cle,abstract ∧ clear,abs*cle,cognitive-communication
abs*clm,abstract ∧ climb,abs*clm,cognitive-process
abs*cri,abstract ∧ criticize,abs*cri,cognitive-communication
abs*cru,abstract ∧ cruel,abs*cru,cognitive-social
abs*cul,abstract ∧ culture,abs*cul,cognitive-social
abs*cup,abstract ∧ cup,abs*cup,cognitive-motion
abs*cus,abstract ∧ custom,abs*cus,cognitive-social
abs*der,abstract ∧ virtue,abs*der,cognitive-ethics
abs*dut,abstract ∧ duty,abs*dut,cognitive-social
abs*ham,abstract ∧ hammer,abs*ham,cognitive-motion
acc*abd,accelerate ∧ abduct,acc*abd,temporal-cognitive
acc*abd*ack,accelerate ∧ abduct ∧ acknowledge,acc*abd*ack,ternary
acc*abd*act,accelerate ∧ abduct ∧ action,acc*abd*act,ternary
acc*abd*ada,accelerate ∧ abduct ∧ adapt,acc*abd*ada,ternary
acc*abd*agg,accelerate ∧ abduct ∧ aggregate,acc*abd*agg,ternary
acc*abl,accelerate ∧ able,acc*abl,temporal-cognitive
acc*abl*ack,accelerate ∧ able ∧ acknowledge,acc*abl*ack,ternary
acc*abl*act,accelerate ∧ able ∧ action,acc*abl*act,ternary
acc*abl*ada,accelerate ∧ able ∧ adapt,acc*abl*ada,ternary
acc*abl*agg,accelerate ∧ able ∧ aggregate,acc*abl*agg,ternary
acc*abs,accelerate ∧ abstract,acc*abs,temporal-cognitive
acc*abs*ack,accelerate ∧ abstract ∧ acknowledge,acc*abs*ack,ternary
acc*abs*act,accelerate ∧ abstract ∧ action,acc*abs*act,ternary
acc*abs*ada,accelerate ∧ abstract ∧ adapt,acc*abs*ada,ternary
acc*abs*agg,accelerate ∧ abstract ∧ aggregate,acc*abs*agg,ternary
acc*ack,accelerate ∧ acknowledge,acc*ack,temporal-agent
acc*act,accelerate ∧ action,acc*act,temporal-agent
acc*ada,accelerate ∧ adapt,acc*ada,temporal-agent
acc*age,accelerate ∧ agent,acc*age,temporal-abstract
acc*agg,accelerate ∧ aggregate,acc*agg,temporal-agent
acc*agr,accelerate ∧ agreeing,acc*agr,temporal-communication
acc*agt,accelerate ∧ agent,acc*agt,temporal-agent
acc*ahi,accelerate ∧ ahimsa,acc*ahi,temporal-ethics
acc*aim,accelerate ∧ aim,acc*aim,temporal-cognitive
acc*aim*ack,accelerate ∧ aim ∧ acknowledge,acc*aim*ack,ternary
acc*aim*act,accelerate ∧ aim ∧ action,acc*aim*act,ternary
acc*aim*ada,accelerate ∧ aim ∧ adapt,acc*aim*ada,ternary
acc*aim*agg,accelerate ∧ aim ∧ aggregate,acc*aim*agg,ternary
acc*ale,accelerate ∧ aleatoric uncertainty (inherently random),acc*ale,temporal-agent
acc*all,accelerate ∧ all,acc*all,temporal-abstract
acc*alp,accelerate ∧ alpha,acc*alp,temporal-abstract
acc*alt,accelerate ∧ alternatively,acc*alt,temporal-abstract
acc*amb,accelerate ∧ many meanings,acc*amb,temporal-abstract
acc*anc,accelerate ∧ ancient,acc*anc,temporal-abstract
acc*ang,accelerate ∧ anger,acc*ang,temporal-cognitive
acc*ani,accelerate ∧ animal,acc*ani,temporal-living
acc*ans,accelerate ∧ answer,acc*ans,temporal-communication
acc*ant,accelerate ∧ ant,acc*ant,temporal-living
acc*anx,accelerate ∧ anxious,acc*anx,temporal-cognitive
acc*api,accelerate ∧ interface,acc*api,temporal-technical
acc*apl,accelerate ∧ apple,acc*apl,temporal-concrete
acc*app,accelerate ∧ application,acc*app,temporal-technical
acc*apt,accelerate ∧ apartment,acc*apt,temporal-sensory
acc*aret,accelerate ∧ arete,acc*aret,temporal-ethics
acc*arg,accelerate ∧ arguing,acc*arg,temporal-communication
acc*ask,accelerate ∧ asking,acc*ask,temporal-communication
acc*async,accelerate ∧ not synchronized concurrent,acc*async,temporal-technical
acc*avi,accelerate ∧ bird,acc*avi,temporal-living
acc*avo,accelerate ∧ avoid,acc*avo,temporal-process
acc*await,accelerate ∧ wait for completion,acc*await,temporal-technical
acc*bag,accelerate ∧ bag,acc*bag,temporal-motion
acc*bak,accelerate ∧ backup,acc*bak,temporal-technical
acc*ban,accelerate ∧ banana,acc*ban,temporal-concrete
acc*bar,accelerate ∧ baraka,acc*bar,temporal-ethics
acc*bat,accelerate ∧ bathroom,acc*bat,temporal-sensory
acc*bed,accelerate ∧ bedroom,acc*bed,temporal-sensory
acc*bee,accelerate ∧ beer,acc*bee,temporal-concrete
acc*beff,accelerate ∧ beef,acc*beff,temporal-concrete
acc*ben,accelerate ∧ bend,acc*ben,temporal-process
acc*ber,accelerate ∧ berry,acc*ber,temporal-living
acc*bit,accelerate ∧ bitter,acc*bit,temporal-concrete
acc*bld,accelerate ∧ build,acc*bld,temporal-process
acc*ble,accelerate ∧ blessing,acc*ble,temporal-ethics
acc*blo,accelerate ∧ blood,acc*blo,temporal-living
acc*bng,accelerate ∧ bring,acc*bng,temporal-process
acc*bnk,accelerate ∧ bank,acc*bnk,temporal-sensory
acc*bod,accelerate ∧ awakening,acc*bod,temporal-ethics
acc*boi,accelerate ∧ boil,acc*boi,temporal-concrete
acc*bon,accelerate ∧ bone,acc*bon,temporal-living
acc*boo,accelerate ∧ book,acc*boo,temporal-motion
acc*bot,accelerate ∧ automated agent,acc*bot,temporal-technical
acc*bow,accelerate ∧ bowl,acc*bow,temporal-motion
acc*box,accelerate ∧ box,acc*box,temporal-motion
acc*brk,accelerate ∧ break,acc*brk,temporal-process
acc*cas,accelerate ∧ castle,acc*cas,temporal-sensory
acc*cei,accelerate ∧ ceiling,acc*cei,temporal-sensory
acc*cer,accelerate ∧ ceremony,acc*cer,temporal-social
acc*chi,accelerate ∧ child,acc*chi,temporal-social
acc*cle,accelerate ∧ clear,acc*cle,temporal-communication
acc*clm,accelerate ∧ climb,acc*clm,temporal-process
acc*cri,accelerate ∧ criticize,acc*cri,temporal-communication
acc*cru,accelerate ∧ cruel,acc*cru,temporal-social
acc*cul,accelerate ∧ culture,acc*cul,temporal-social
acc*cup,accelerate ∧ cup,acc*cup,temporal-motion
acc*cus,accelerate ∧ custom,acc*cus,temporal-social
acc*der,accelerate ∧ virtue,acc*der,temporal-ethics
acc*dut,accelerate ∧ duty,acc*dut,temporal-social
acc*ham,accelerate ∧ hammer,acc*ham,temporal-motion
aci*bas,material blend: acid + base,aci*bas,material_internal
aci*col,material blend: acid + distant,aci*col,material_internal
aci*den,material blend: acid + dense,aci*den,material_internal
aci*dry,material blend: acid + dry,aci*dry,material_internal
aci*hot,material blend: acid + passion,aci*hot,material_internal
aci*sof,material blend: acid + soft,aci*sof,material_internal
aci*wet,material blend: acid + wet,aci*wet,material_internal
ack*ahi,acknowledge ∧ ahimsa,ack*ahi,agent-ethics
ack*api,acknowledge ∧ interface,ack*api,agent-technical
ack*api*avo,acknowledge ∧ interface ∧ avoid,ack*api*avo,ternary
ack*api*ben,acknowledge ∧ interface ∧ bend,ack*api*ben,ternary
ack*api*bld,acknowledge ∧ interface ∧ build,ack*api*bld,ternary
ack*api*bng,acknowledge ∧ interface ∧ bring,ack*api*bng,ternary
ack*apl,acknowledge ∧ apple,ack*apl,agent-concrete
ack*app,acknowledge ∧ application,ack*app,agent-technical
ack*app*avo,acknowledge ∧ application ∧ avoid,ack*app*avo,ternary
ack*app*ben,acknowledge ∧ application ∧ bend,ack*app*ben,ternary
ack*app*bld,acknowledge ∧ application ∧ build,ack*app*bld,ternary
ack*app*bng,acknowledge ∧ application ∧ bring,ack*app*bng,ternary
