expression,meaning,example,domain
(cyc^0.1)@(cyc^0.9),weak to strong cycle,(cyc^0.1)@(cyc^0.9) = weak to strong cycle,temporal
(cyc^0.4*seq^0.6),sequence-leaning order,(cyc^0.4*seq^0.6) = sequence-leaning order,temporal
(cyc^0.6*seq^0.4),cycle-leaning order,(cyc^0.6*seq^0.4) = cycle-leaning order,temporal
(dec^0.1)@(dec^0.9),minimal to complete decay,(dec^0.1)@(dec^0.9) = minimal to complete decay,temporal
(end:beg)\cha,ending from beginning\change,(end:beg)\cha = ending from beginning\change,temporal
(evo^0.1)@(evo^0.9),barely to fully evolved,(evo^0.1)@(evo^0.9) = barely to fully evolved,temporal
(fut^0.1)@(fut^0.9),near to distant future,(fut^0.1)@(fut^0.9) = near to distant future,temporal
(gro^0.1)@(gro^0.9),minimal to maximal growth,(gro^0.1)@(gro^0.9) = minimal to maximal growth,temporal
(gro^0.4*dec^0.6),decay-leaning development,(gro^0.4*dec^0.6) = decay-leaning development,temporal
(gro^0.6*dec^0.4),growth-leaning development,(gro^0.6*dec^0.4) = growth-leaning development,temporal
(has^0.3*del^0.7),delay-leaning tempo,(has^0.3*del^0.7) = delay-leaning tempo,temporal
(has^0.7*del^0.3),haste-leaning tempo,(has^0.7*del^0.3) = haste-leaning tempo,temporal
(lon^0.1)@(lon^0.9),brief to long connected,(lon^0.1)@(lon^0.9) = brief to long connected,temporal
(lon^0.3*bre^0.7),brief-leaning duration,(lon^0.3*bre^0.7) = brief-leaning duration,temporal
(lon^0.7*bre^0.3),long-leaning duration,(lon^0.7*bre^0.3) = long-leaning duration,temporal
(pas\fut)@now,pure past connected to present,(pas\fut)@now = pure past connected to present,temporal
(pas@now)*fut,connected past fused with future,(pas@now)*fut = connected past fused with future,temporal
(pas^0.1)@(pas^0.9),recent to ancient past,(pas^0.1)@(pas^0.9) = recent to ancient past,temporal
(pas^0.3*fut^0.7),future-leaning temporal position,(pas^0.3*fut^0.7) = future-leaning temporal position,temporal
(pas^0.7*fut^0.3),past-leaning temporal position,(pas^0.7*fut^0.3) = past-leaning temporal position,temporal
(sta:cha)\tra,stability from change excluding transformation,(sta:cha)\tra = stability from change excluding transformation,temporal
(sta^0.1)@(sta^0.9),unstable to perfectly stable,(sta^0.1)@(sta^0.9) = unstable to perfectly stable,temporal
(sta^0.3*cha^0.7),change-leaning state,(sta^0.3*cha^0.7) = change-leaning state,temporal
(sta^0.7*cha^0.3),stability-leaning state,(sta^0.7*cha^0.3) = stability-leaning state,temporal
acc\grd\sta,pure acceleration only,acc\grd\sta = pure acceleration only,temporal
acc ± sta ± grd,complete rate spectrum,acc ± sta ± grd = complete rate spectrum,temporal
acc*aft,accelerate fused with after,acc*aft = accelerate fused with after,temporal
acc*alw,accelerate fused with always,acc*alw = accelerate fused with always,temporal
acc*bef,accelerate fused with before,acc*bef = accelerate fused with before,temporal
acc*beg,accelerate fused with beginning,acc*beg = accelerate fused with beginning,temporal
acc*bir,accelerate fused with birth,acc*bir = accelerate fused with birth,temporal
acc*bre,accelerate fused with brief,acc*bre = accelerate fused with brief,temporal
acc*cha,accelerate fused with change,acc*cha = accelerate fused with change,temporal
acc*cyc,accelerate fused with cycle,acc*cyc = accelerate fused with cycle,temporal
acc*daw,accelerate fused with dawn,acc*daw = accelerate fused with dawn,temporal
acc*dea,accelerate fused with death,acc*dea = accelerate fused with death,temporal
acc*dec,accelerate fused with decay,acc*dec = accelerate fused with decay,temporal
acc*del,accelerate fused with delay,acc*del = accelerate fused with delay,temporal
acc*dur,accelerate fused with duration,acc*dur = accelerate fused with duration,temporal
acc*dus,accelerate fused with dusk,acc*dus = accelerate fused with dusk,temporal
acc*end,accelerate fused with ending,acc*end = accelerate fused with ending,temporal
acc*epo,accelerate fused with epoch,acc*epo = accelerate fused with epoch,temporal
acc*era,accelerate fused with era,acc*era = accelerate fused with era,temporal
acc*evo,accelerate fused with evolution,acc*evo = accelerate fused with evolution,temporal
acc*fir,accelerate fused with first,acc*fir = accelerate fused with first,temporal
acc*fut,accelerate fused with future,acc*fut = accelerate fused with future,temporal
acc*grd,accelerate fused with gradual,acc*grd = accelerate fused with gradual,temporal
acc*gro,accelerate fused with growth,acc*gro = accelerate fused with growth,temporal
acc*has,accelerate fused with haste,acc*has = accelerate fused with haste,temporal
acc*hot,hot acceleration,acc*hot = hot acceleration,temporal
acc*las,accelerate fused with last,acc*las = accelerate fused with last,temporal
acc*lon,accelerate fused with long,acc*lon = accelerate fused with long,temporal
acc*mid,accelerate fused with middle,acc*mid = accelerate fused with middle,temporal
acc*mom,accelerate fused with moment,acc*mom = accelerate fused with moment,temporal
acc*nev,accelerate fused with never,acc*nev = accelerate fused with never,temporal
acc*now,accelerate fused with present,acc*now = accelerate fused with present,temporal
acc*oft,accelerate fused with often,acc*oft = accelerate fused with often,temporal
acc*onc,accelerate fused with once,acc*onc = accelerate fused with once,temporal
acc*pas,accelerate fused with past,acc*pas = accelerate fused with past,temporal
acc*pha,accelerate fused with phase,acc*pha = accelerate fused with phase,temporal
acc*rar,accelerate fused with rare,acc*rar = accelerate fused with rare,temporal
acc*seq,accelerate fused with sequence,acc*seq = accelerate fused with sequence,temporal
acc*sta,accelerate fused with stability,acc*sta = accelerate fused with stability,temporal
acc*tra,accelerate fused with transformation,acc*tra = accelerate fused with transformation,temporal
acc*unt,accelerate fused with until,acc*unt = accelerate fused with until,temporal
acc*urg,accelerate fused with urgent,acc*urg = accelerate fused with urgent,temporal
acc*yet,accelerate fused with yet,acc*yet = accelerate fused with yet,temporal
acc@has@urg@del,tempo elements connected,acc@has@urg@del = tempo elements connected,temporal
acc^-0.5,inverse accelerate (degree -0.5),acc^-0.5 = inverse accelerate (degree -0.5),temporal
acc^-1.0,inverse accelerate (degree -1.0),acc^-1.0 = inverse accelerate (degree -1.0),temporal
acc^0.1,barely accelerate,acc^0.1 = barely accelerate,temporal
acc^0.2,slightly accelerate,acc^0.2 = slightly accelerate,temporal
acc^0.3,somewhat accelerate,acc^0.3 = somewhat accelerate,temporal
acc^0.4,fairly-light accelerate,acc^0.4 = fairly-light accelerate,temporal
acc^0.5,moderately accelerate,acc^0.5 = moderately accelerate,temporal
acc^0.6,quite accelerate,acc^0.6 = quite accelerate,temporal
acc^0.7,fairly accelerate,acc^0.7 = fairly accelerate,temporal
acc^0.8,very accelerate,acc^0.8 = very accelerate,temporal
acc^0.8*grd^0.2,sharp acceleration with minimal graduality,acc^0.8*grd^0.2 = sharp acceleration with minimal graduality,temporal
acc^0.9,extremely accelerate,acc^0.9 = extremely accelerate,temporal
acc^1.0,absolutely accelerate,acc^1.0 = absolutely accelerate,temporal
aft*alw,after fused with always,aft*alw = after fused with always,temporal
aft*bef,after fused with before,aft*bef = after fused with before,temporal
aft*beg,after fused with beginning,aft*beg = after fused with beginning,temporal
aft*bir,after fused with birth,aft*bir = after fused with birth,temporal
aft*bre,after fused with brief,aft*bre = after fused with brief,temporal
aft*cha,after fused with change,aft*cha = after fused with change,temporal
aft*cyc,after fused with cycle,aft*cyc = after fused with cycle,temporal
aft*daw,after fused with dawn,aft*daw = after fused with dawn,temporal
aft*dea,after fused with death,aft*dea = after fused with death,temporal
aft*dec,after fused with decay,aft*dec = after fused with decay,temporal
aft*del,after fused with delay,aft*del = after fused with delay,temporal
aft*dur,after fused with duration,aft*dur = after fused with duration,temporal
aft*dus,after fused with dusk,aft*dus = after fused with dusk,temporal
aft*end,after fused with ending,aft*end = after fused with ending,temporal
aft*epo,after fused with epoch,aft*epo = after fused with epoch,temporal
aft*era,after fused with era,aft*era = after fused with era,temporal
aft*evo,after fused with evolution,aft*evo = after fused with evolution,temporal
aft*fir,after fused with first,aft*fir = after fused with first,temporal
aft*fut,after fused with future,aft*fut = after fused with future,temporal
aft*grd,after fused with gradual,aft*grd = after fused with gradual,temporal
aft*gro,after fused with growth,aft*gro = after fused with growth,temporal
aft*has,after fused with haste,aft*has = after fused with haste,temporal
aft*las,after fused with last,aft*las = after fused with last,temporal
aft*lon,after fused with long,aft*lon = after fused with long,temporal
aft*mid,after fused with middle,aft*mid = after fused with middle,temporal
aft*mom,after fused with moment,aft*mom = after fused with moment,temporal
aft*nev,after fused with never,aft*nev = after fused with never,temporal
aft*now,after fused with present,aft*now = after fused with present,temporal
aft*oft,after fused with often,aft*oft = after fused with often,temporal
aft*onc,after fused with once,aft*onc = after fused with once,temporal
aft*pas,after fused with past,aft*pas = after fused with past,temporal
aft*pha,after fused with phase,aft*pha = after fused with phase,temporal
aft*rar,after fused with rare,aft*rar = after fused with rare,temporal
aft*seq,after fused with sequence,aft*seq = after fused with sequence,temporal
aft*sta,after fused with stability,aft*sta = after fused with stability,temporal
aft*tra,after fused with transformation,aft*tra = after fused with transformation,temporal
aft*unt,after fused with until,aft*unt = after fused with until,temporal
aft*urg,after fused with urgent,aft*urg = after fused with urgent,temporal
aft*yet,after fused with yet,aft*yet = after fused with yet,temporal
aft^-0.5,inverse after (degree -0.5),aft^-0.5 = inverse after (degree -0.5),temporal
aft^-1.0,inverse after (degree -1.0),aft^-1.0 = inverse after (degree -1.0),temporal
aft^0.1,barely after,aft^0.1 = barely after,temporal
aft^0.2,slightly after,aft^0.2 = slightly after,temporal
aft^0.3,somewhat after,aft^0.3 = somewhat after,temporal
aft^0.4,fairly-light after,aft^0.4 = fairly-light after,temporal
aft^0.5,moderately after,aft^0.5 = moderately after,temporal
aft^0.6,quite after,aft^0.6 = quite after,temporal
aft^0.7,fairly after,aft^0.7 = fairly after,temporal
aft^0.8,very after,aft^0.8 = very after,temporal
aft^0.9,extremely after,aft^0.9 = extremely after,temporal
aft^1.0,absolutely after,aft^1.0 = absolutely after,temporal
alw:(oft*onc),always from often-once,alw:(oft*onc) = always from often-once,temporal
alw\nev\rar,certain frequency,alw\nev\rar = certain frequency,temporal
alw ± oft ± onc ± rar ± nev,complete frequency spectrum,alw ± oft ± onc ± rar ± nev = complete frequency spectrum,temporal
alw*bef,always fused with before,alw*bef = always fused with before,temporal
alw*beg,always fused with beginning,alw*beg = always fused with beginning,temporal
alw*bir,always fused with birth,alw*bir = always fused with birth,temporal
alw*bre,always fused with brief,alw*bre = always fused with brief,temporal
alw*cha,always fused with change,alw*cha = always fused with change,temporal
alw*cyc,always fused with cycle,alw*cyc = always fused with cycle,temporal
alw*daw,always fused with dawn,alw*daw = always fused with dawn,temporal
alw*dea,always fused with death,alw*dea = always fused with death,temporal
alw*dec,always fused with decay,alw*dec = always fused with decay,temporal
alw*del,always fused with delay,alw*del = always fused with delay,temporal
alw*dur,always fused with duration,alw*dur = always fused with duration,temporal
alw*dus,always fused with dusk,alw*dus = always fused with dusk,temporal
alw*end,always fused with ending,alw*end = always fused with ending,temporal
alw*epo,always fused with epoch,alw*epo = always fused with epoch,temporal
alw*era,always fused with era,alw*era = always fused with era,temporal
alw*evo,always fused with evolution,alw*evo = always fused with evolution,temporal
alw*fir,always fused with first,alw*fir = always fused with first,temporal
alw*fut,always fused with future,alw*fut = always fused with future,temporal
alw*goo,always good,alw*goo = always good,temporal
alw*grd,always fused with gradual,alw*grd = always fused with gradual,temporal
alw*gro,always fused with growth,alw*gro = always fused with growth,temporal
alw*has,always fused with haste,alw*has = always fused with haste,temporal
alw*las,always fused with last,alw*las = always fused with last,temporal
alw*lon,always fused with long,alw*lon = always fused with long,temporal
alw*mid,always fused with middle,alw*mid = always fused with middle,temporal
alw*mom,always fused with moment,alw*mom = always fused with moment,temporal
alw*nev,always fused with never,alw*nev = always fused with never,temporal
alw*now,always fused with present,alw*now = always fused with present,temporal
alw*oft,always fused with often,alw*oft = always fused with often,temporal
alw*onc,always fused with once,alw*onc = always fused with once,temporal
alw*pas,always fused with past,alw*pas = always fused with past,temporal
alw*pha,always fused with phase,alw*pha = always fused with phase,temporal
alw*rar,always fused with rare,alw*rar = always fused with rare,temporal
alw*seq,always fused with sequence,alw*seq = always fused with sequence,temporal
alw*sta,always fused with stability,alw*sta = always fused with stability,temporal
alw*tra,always fused with transformation,alw*tra = always fused with transformation,temporal
alw*unt,always fused with until,alw*unt = always fused with until,temporal
alw*urg,always fused with urgent,alw*urg = always fused with urgent,temporal
alw*yet,always fused with yet,alw*yet = always fused with yet,temporal
alw@oft@onc@rar@nev,frequency spectrum connected,alw@oft@onc@rar@nev = frequency spectrum connected,temporal
alw^-0.5,inverse always (degree -0.5),alw^-0.5 = inverse always (degree -0.5),temporal
alw^-1.0,inverse always (degree -1.0),alw^-1.0 = inverse always (degree -1.0),temporal
alw^0.1,barely always,alw^0.1 = barely always,temporal
alw^0.2,slightly always,alw^0.2 = slightly always,temporal
alw^0.3,somewhat always,alw^0.3 = somewhat always,temporal
alw^0.4,fairly-light always,alw^0.4 = fairly-light always,temporal
alw^0.5,moderately always,alw^0.5 = moderately always,temporal
alw^0.6,quite always,alw^0.6 = quite always,temporal
alw^0.7,fairly always,alw^0.7 = fairly always,temporal
alw^0.8,very always,alw^0.8 = very always,temporal
alw^0.9,extremely always,alw^0.9 = extremely always,temporal
alw^0.95*nev^0.05,near-certain occurrence,alw^0.95*nev^0.05 = near-certain occurrence,temporal
alw^1.0,absolutely always,alw^1.0 = absolutely always,temporal
bef*beg,before fused with beginning,bef*beg = before fused with beginning,temporal
bef*bir,before fused with birth,bef*bir = before fused with birth,temporal
bef*bre,before fused with brief,bef*bre = before fused with brief,temporal
bef*cha,before fused with change,bef*cha = before fused with change,temporal
bef*cyc,before fused with cycle,bef*cyc = before fused with cycle,temporal
bef*daw,before fused with dawn,bef*daw = before fused with dawn,temporal
bef*dea,before fused with death,bef*dea = before fused with death,temporal
bef*dec,before fused with decay,bef*dec = before fused with decay,temporal
bef*del,before fused with delay,bef*del = before fused with delay,temporal
bef*dur,before fused with duration,bef*dur = before fused with duration,temporal
bef*dus,before fused with dusk,bef*dus = before fused with dusk,temporal
bef*end,before fused with ending,bef*end = before fused with ending,temporal
bef*epo,before fused with epoch,bef*epo = before fused with epoch,temporal
bef*era,before fused with era,bef*era = before fused with era,temporal
bef*evo,before fused with evolution,bef*evo = before fused with evolution,temporal
bef*fir,before fused with first,bef*fir = before fused with first,temporal
bef*fut,before fused with future,bef*fut = before fused with future,temporal
bef*grd,before fused with gradual,bef*grd = before fused with gradual,temporal
bef*gro,before fused with growth,bef*gro = before fused with growth,temporal
bef*has,before fused with haste,bef*has = before fused with haste,temporal
bef*las,before fused with last,bef*las = before fused with last,temporal
bef*lon,before fused with long,bef*lon = before fused with long,temporal
bef*mid,before fused with middle,bef*mid = before fused with middle,temporal
bef*mom,before fused with moment,bef*mom = before fused with moment,temporal
bef*nev,before fused with never,bef*nev = before fused with never,temporal
bef*now,before fused with present,bef*now = before fused with present,temporal
bef*oft,before fused with often,bef*oft = before fused with often,temporal
bef*onc,before fused with once,bef*onc = before fused with once,temporal
bef*pas,before fused with past,bef*pas = before fused with past,temporal
bef*pha,before fused with phase,bef*pha = before fused with phase,temporal
bef*rar,before fused with rare,bef*rar = before fused with rare,temporal
bef*seq,before fused with sequence,bef*seq = before fused with sequence,temporal
bef*sta,before fused with stability,bef*sta = before fused with stability,temporal
bef*tra,before fused with transformation,bef*tra = before fused with transformation,temporal
bef*unt,before fused with until,bef*unt = before fused with until,temporal
bef*urg,before fused with urgent,bef*urg = before fused with urgent,temporal
bef*yet,before fused with yet,bef*yet = before fused with yet,temporal
bef^-0.5,inverse before (degree -0.5),bef^-0.5 = inverse before (degree -0.5),temporal
bef^-1.0,inverse before (degree -1.0),bef^-1.0 = inverse before (degree -1.0),temporal
bef^0.1,barely before,bef^0.1 = barely before,temporal
bef^0.2,slightly before,bef^0.2 = slightly before,temporal
bef^0.3,somewhat before,bef^0.3 = somewhat before,temporal
bef^0.4,fairly-light before,bef^0.4 = fairly-light before,temporal
bef^0.5,moderately before,bef^0.5 = moderately before,temporal
bef^0.6,quite before,bef^0.6 = quite before,temporal
bef^0.7,fairly before,bef^0.7 = fairly before,temporal
bef^0.8,very before,bef^0.8 = very before,temporal
bef^0.9,extremely before,bef^0.9 = extremely before,temporal
bef^1.0,absolutely before,bef^1.0 = absolutely before,temporal
beg ± mid ± end,complete lifecycle (both/either),beg ± mid ± end = complete lifecycle (both/either),temporal
beg*bir,beginning fused with birth,beg*bir = beginning fused with birth,temporal
beg*bre,beginning fused with brief,beg*bre = beginning fused with brief,temporal
beg*cha,beginning fused with change,beg*cha = beginning fused with change,temporal
beg*cyc,beginning fused with cycle,beg*cyc = beginning fused with cycle,temporal
beg*daw,beginning fused with dawn,beg*daw = beginning fused with dawn,temporal
beg*dea,beginning fused with death,beg*dea = beginning fused with death,temporal
beg*dec,beginning fused with decay,beg*dec = beginning fused with decay,temporal
beg*del,beginning fused with delay,beg*del = beginning fused with delay,temporal
beg*dur,beginning fused with duration,beg*dur = beginning fused with duration,temporal
beg*dus,beginning fused with dusk,beg*dus = beginning fused with dusk,temporal
beg*end,beginning fused with ending,beg*end = beginning fused with ending,temporal
beg*epo,beginning fused with epoch,beg*epo = beginning fused with epoch,temporal
beg*era,beginning fused with era,beg*era = beginning fused with era,temporal
beg*evo,beginning fused with evolution,beg*evo = beginning fused with evolution,temporal
beg*fir,beginning fused with first,beg*fir = beginning fused with first,temporal
beg*fut,beginning fused with future,beg*fut = beginning fused with future,temporal
beg*grd,beginning fused with gradual,beg*grd = beginning fused with gradual,temporal
beg*gro,beginning fused with growth,beg*gro = beginning fused with growth,temporal
beg*has,beginning fused with haste,beg*has = beginning fused with haste,temporal
beg*las,beginning fused with last,beg*las = beginning fused with last,temporal
beg*lon,beginning fused with long,beg*lon = beginning fused with long,temporal
beg*mid,beginning fused with middle,beg*mid = beginning fused with middle,temporal
beg*mom,beginning fused with moment,beg*mom = beginning fused with moment,temporal
beg*nev,beginning fused with never,beg*nev = beginning fused with never,temporal
beg*now,beginning fused with present,beg*now = beginning fused with present,temporal
beg*oft,beginning fused with often,beg*oft = beginning fused with often,temporal
beg*onc,beginning fused with once,beg*onc = beginning fused with once,temporal
beg*pas,beginning fused with past,beg*pas = beginning fused with past,temporal
beg*pha,beginning fused with phase,beg*pha = beginning fused with phase,temporal
beg*rar,beginning fused with rare,beg*rar = beginning fused with rare,temporal
beg*seq,beginning fused with sequence,beg*seq = beginning fused with sequence,temporal
beg*sta,beginning fused with stability,beg*sta = beginning fused with stability,temporal
beg*tra,beginning fused with transformation,beg*tra = beginning fused with transformation,temporal
beg*unt,beginning fused with until,beg*unt = beginning fused with until,temporal
beg*urg,beginning fused with urgent,beg*urg = beginning fused with urgent,temporal
beg*yet,beginning fused with yet,beg*yet = beginning fused with yet,temporal
beg@mid@end@las,lifecycle connected,beg@mid@end@las = lifecycle connected,temporal
beg^-0.5,inverse beginning (degree -0.5),beg^-0.5 = inverse beginning (degree -0.5),temporal
beg^-1.0,inverse beginning (degree -1.0),beg^-1.0 = inverse beginning (degree -1.0),temporal
beg^0.1,barely beginning,beg^0.1 = barely beginning,temporal
beg^0.2,slightly beginning,beg^0.2 = slightly beginning,temporal
beg^0.3,somewhat beginning,beg^0.3 = somewhat beginning,temporal
beg^0.4,fairly-light beginning,beg^0.4 = fairly-light beginning,temporal
beg^0.5,moderately beginning,beg^0.5 = moderately beginning,temporal
beg^0.6,quite beginning,beg^0.6 = quite beginning,temporal
beg^0.7,fairly beginning,beg^0.7 = fairly beginning,temporal
beg^0.8,very beginning,beg^0.8 = very beginning,temporal
beg^0.9,extremely beginning,beg^0.9 = extremely beginning,temporal
beg^1.0,absolutely beginning,beg^1.0 = absolutely beginning,temporal
bir\dea\dec,pure creation only,bir\dea\dec = pure creation only,temporal
bir ± dea,life boundaries (both/either),bir ± dea = life boundaries (both/either),temporal
bir*bre,birth fused with brief,bir*bre = birth fused with brief,temporal
bir*bri,bright birth,bir*bri = bright birth,temporal
bir*cha,birth fused with change,bir*cha = birth fused with change,temporal
bir*cyc,birth fused with cycle,bir*cyc = birth fused with cycle,temporal
bir*daw,birth fused with dawn,bir*daw = birth fused with dawn,temporal
bir*dea,birth fused with death,bir*dea = birth fused with death,temporal
bir*dec,birth fused with decay,bir*dec = birth fused with decay,temporal
bir*del,birth fused with delay,bir*del = birth fused with delay,temporal
bir*dur,birth fused with duration,bir*dur = birth fused with duration,temporal
bir*dus,birth fused with dusk,bir*dus = birth fused with dusk,temporal
bir*end,birth fused with ending,bir*end = birth fused with ending,temporal
bir*epo,birth fused with epoch,bir*epo = birth fused with epoch,temporal
bir*era,birth fused with era,bir*era = birth fused with era,temporal
bir*evo,birth fused with evolution,bir*evo = birth fused with evolution,temporal
bir*fir,birth fused with first,bir*fir = birth fused with first,temporal
bir*fut,birth fused with future,bir*fut = birth fused with future,temporal
bir*grd,birth fused with gradual,bir*grd = birth fused with gradual,temporal
bir*gro,birth fused with growth,bir*gro = birth fused with growth,temporal
bir*has,birth fused with haste,bir*has = birth fused with haste,temporal
bir*las,birth fused with last,bir*las = birth fused with last,temporal
bir*lon,birth fused with long,bir*lon = birth fused with long,temporal
bir*mid,birth fused with middle,bir*mid = birth fused with middle,temporal
bir*mom,birth fused with moment,bir*mom = birth fused with moment,temporal
bir*nev,birth fused with never,bir*nev = birth fused with never,temporal
bir*now,birth fused with present,bir*now = birth fused with present,temporal
bir*oft,birth fused with often,bir*oft = birth fused with often,temporal
bir*onc,birth fused with once,bir*onc = birth fused with once,temporal
bir*pas,birth fused with past,bir*pas = birth fused with past,temporal
bir*pha,birth fused with phase,bir*pha = birth fused with phase,temporal
bir*rar,birth fused with rare,bir*rar = birth fused with rare,temporal
bir*seq,birth fused with sequence,bir*seq = birth fused with sequence,temporal
bir*sta,birth fused with stability,bir*sta = birth fused with stability,temporal
bir*tra,birth fused with transformation,bir*tra = birth fused with transformation,temporal
bir*unt,birth fused with until,bir*unt = birth fused with until,temporal
bir*urg,birth fused with urgent,bir*urg = birth fused with urgent,temporal
bir*yet,birth fused with yet,bir*yet = birth fused with yet,temporal
bir@sta@dea@epo,lifetime through stability through death,bir@sta@dea@epo = lifetime through stability through death,temporal
bir^-0.5,inverse birth (degree -0.5),bir^-0.5 = inverse birth (degree -0.5),temporal
bir^-1.0,inverse birth (degree -1.0),bir^-1.0 = inverse birth (degree -1.0),temporal
bir^0.1,barely birth,bir^0.1 = barely birth,temporal
bir^0.2,slightly birth,bir^0.2 = slightly birth,temporal
bir^0.3,somewhat birth,bir^0.3 = somewhat birth,temporal
bir^0.4,fairly-light birth,bir^0.4 = fairly-light birth,temporal
bir^0.5,moderately birth,bir^0.5 = moderately birth,temporal
bir^0.6,quite birth,bir^0.6 = quite birth,temporal
bir^0.7,fairly birth,bir^0.7 = fairly birth,temporal
bir^0.8,very birth,bir^0.8 = very birth,temporal
bir^0.9,extremely birth,bir^0.9 = extremely birth,temporal
bir^1.0,absolutely birth,bir^1.0 = absolutely birth,temporal
bre\lon\dur,pure brevity only,bre\lon\dur = pure brevity only,temporal
bre*cha,brief fused with change,bre*cha = brief fused with change,temporal
bre*cyc,brief fused with cycle,bre*cyc = brief fused with cycle,temporal
bre*daw,brief fused with dawn,bre*daw = brief fused with dawn,temporal
bre*dea,brief fused with death,bre*dea = brief fused with death,temporal
bre*dec,brief fused with decay,bre*dec = brief fused with decay,temporal
bre*del,brief fused with delay,bre*del = brief fused with delay,temporal
bre*dur,brief fused with duration,bre*dur = brief fused with duration,temporal
bre*dus,brief fused with dusk,bre*dus = brief fused with dusk,temporal
bre*emp,empty brief,bre*emp = empty brief,temporal
bre*end,brief fused with ending,bre*end = brief fused with ending,temporal
bre*epo,brief fused with epoch,bre*epo = brief fused with epoch,temporal
bre*era,brief fused with era,bre*era = brief fused with era,temporal
bre*evo,brief fused with evolution,bre*evo = brief fused with evolution,temporal
bre*fir,brief fused with first,bre*fir = brief fused with first,temporal
bre*fut,brief fused with future,bre*fut = brief fused with future,temporal
bre*grd,brief fused with gradual,bre*grd = brief fused with gradual,temporal
bre*gro,brief fused with growth,bre*gro = brief fused with growth,temporal
bre*has,brief fused with haste,bre*has = brief fused with haste,temporal
bre*las,brief fused with last,bre*las = brief fused with last,temporal
bre*lon,brief fused with long,bre*lon = brief fused with long,temporal
bre*mid,brief fused with middle,bre*mid = brief fused with middle,temporal
bre*mom,brief fused with moment,bre*mom = brief fused with moment,temporal
bre*nev,brief fused with never,bre*nev = brief fused with never,temporal
bre*now,brief fused with present,bre*now = brief fused with present,temporal
bre*oft,brief fused with often,bre*oft = brief fused with often,temporal
bre*onc,brief fused with once,bre*onc = brief fused with once,temporal
bre*pas,brief fused with past,bre*pas = brief fused with past,temporal
bre*pha,brief fused with phase,bre*pha = brief fused with phase,temporal
bre*rar,brief fused with rare,bre*rar = brief fused with rare,temporal
bre*seq,brief fused with sequence,bre*seq = brief fused with sequence,temporal
bre*sta,brief fused with stability,bre*sta = brief fused with stability,temporal
bre*tra,brief fused with transformation,bre*tra = brief fused with transformation,temporal
bre*unt,brief fused with until,bre*unt = brief fused with until,temporal
bre*urg,brief fused with urgent,bre*urg = brief fused with urgent,temporal
bre*yet,brief fused with yet,bre*yet = brief fused with yet,temporal
bre^-0.5,inverse brief (degree -0.5),bre^-0.5 = inverse brief (degree -0.5),temporal
bre^-1.0,inverse brief (degree -1.0),bre^-1.0 = inverse brief (degree -1.0),temporal
bre^0.1,barely brief,bre^0.1 = barely brief,temporal
bre^0.2,slightly brief,bre^0.2 = slightly brief,temporal
bre^0.3,somewhat brief,bre^0.3 = somewhat brief,temporal
bre^0.4,fairly-light brief,bre^0.4 = fairly-light brief,temporal
bre^0.5,moderately brief,bre^0.5 = moderately brief,temporal
bre^0.6,quite brief,bre^0.6 = quite brief,temporal
bre^0.7,fairly brief,bre^0.7 = fairly brief,temporal
