expression,meaning,example,domain
(onc@bir)^0.40,Compositional expression using (A@B)^X,(onc@bir)^0.40,emotion
(nar@traversable)^0.48,Compositional expression using (A@B)^X,(nar@traversable)^0.48,emotion
(slf@key)^0.41,Compositional expression using (A@B)^X,(slf@key)^0.41,emotion
(obs@qui)^0.57,Compositional expression using (A@B)^X,(obs@qui)^0.57,emotion
(kil@slf)^0.52,Compositional expression using (A@B)^X,(kil@slf)^0.52,emotion
(sub@tig)^0.31,Compositional expression using (A@B)^X,(sub@tig)^0.31,emotion
(ato@mag)^0.71,Compositional expression using (A@B)^X,(ato@mag)^0.71,emotion
(trk@oni)^0.30,Compositional expression using (A@B)^X,(trk@oni)^0.30,emotion
(via@thunk)^0.23,Compositional expression using (A@B)^X,(via@thunk)^0.23,emotion
(ergo@aer)^0.57,Compositional expression using (A@B)^X,(ergo@aer)^0.57,emotion
(topology@closure)^0.60,Compositional expression using (A@B)^X,(topology@closure)^0.60,emotion
(tok@ova)^0.18,Compositional expression using (A@B)^X,(tok@ova)^0.18,emotion
(com@ergo)^0.41,Compositional expression using (A@B)^X,(com@ergo)^0.41,emotion
(chi@xia)^0.18,Compositional expression using (A@B)^X,(chi@xia)^0.18,emotion
(dep@zer)^0.27,Compositional expression using (A@B)^X,(dep@zer)^0.27,emotion
(mul@raw)^0.36,Compositional expression using (A@B)^X,(mul@raw)^0.36,emotion
(oxi@saf)^0.47,Compositional expression using (A@B)^X,(oxi@saf)^0.47,emotion
(anx@sof)^0.28,Compositional expression using (A@B)^X,(anx@sof)^0.28,emotion
(sub@gue)^0.34,Compositional expression using (A@B)^X,(sub@gue)^0.34,emotion
(snc@src)^0.48,Compositional expression using (A@B)^X,(snc@src)^0.48,emotion
(thn@fit)^0.49,Compositional expression using (A@B)^X,(thn@fit)^0.49,emotion
(pit@don)^0.83,Compositional expression using (A@B)^X,(pit@don)^0.83,emotion
(key@rst)^0.65,Compositional expression using (A@B)^X,(key@rst)^0.65,emotion
(inf@chi)^0.70,Compositional expression using (A@B)^X,(inf@chi)^0.70,emotion
(traversable@pil)^0.77,Compositional expression using (A@B)^X,(traversable@pil)^0.77,emotion
(phr@mou)^0.21,Compositional expression using (A@B)^X,(phr@mou)^0.21,emotion
(ova@phenomenology)^0.46,Compositional expression using (A@B)^X,(ova@phenomenology)^0.46,emotion
(pov@act)^0.91,Compositional expression using (A@B)^X,(pov@act)^0.91,emotion
(clu@netw)^0.87,Compositional expression using (A@B)^X,(clu@netw)^0.87,emotion
(eff@lio)^0.58,Compositional expression using (A@B)^X,(eff@lio)^0.58,emotion
(ben@mem)^0.52,Compositional expression using (A@B)^X,(ben@mem)^0.52,emotion
(sup@und)^0.61,Compositional expression using (A@B)^X,(sup@und)^0.61,emotion
(mil@coh)^0.81,Compositional expression using (A@B)^X,(mil@coh)^0.81,emotion
(hor@tra)^0.77,Compositional expression using (A@B)^X,(hor@tra)^0.77,emotion
(rol@yon)^0.64,Compositional expression using (A@B)^X,(rol@yon)^0.64,emotion
(own@pha)^0.93,Compositional expression using (A@B)^X,(own@pha)^0.93,emotion
(ovr@sci)^0.85,Compositional expression using (A@B)^X,(ovr@sci)^0.85,emotion
(mem@bli)^0.23,Compositional expression using (A@B)^X,(mem@bli)^0.23,emotion
(epi@inf)^0.28,Compositional expression using (A@B)^X,(epi@inf)^0.28,emotion
(ova@rul)^0.66,Compositional expression using (A@B)^X,(ova@rul)^0.66,emotion
(lattice@urg)^0.23,Compositional expression using (A@B)^X,(lattice@urg)^0.23,emotion
(fat@poi)^0.43,Compositional expression using (A@B)^X,(fat@poi)^0.43,emotion
(nut@asu)^0.49,Compositional expression using (A@B)^X,(nut@asu)^0.49,emotion
(ubu@wit)^0.59,Compositional expression using (A@B)^X,(ubu@wit)^0.59,emotion
(pln@wha)^0.85,Compositional expression using (A@B)^X,(pln@wha)^0.85,emotion
(if@drk)^0.37,Compositional expression using (A@B)^X,(if@drk)^0.37,emotion
(sec@wud)^0.34,Compositional expression using (A@B)^X,(sec@wud)^0.34,emotion
(cel@nov)^0.50,Compositional expression using (A@B)^X,(cel@nov)^0.50,emotion
(trd@sle)^0.72,Compositional expression using (A@B)^X,(trd@sle)^0.72,emotion
(tau@clb)^0.23,Compositional expression using (A@B)^X,(tau@clb)^0.23,emotion
(oni@lon)^0.82,Compositional expression using (A@B)^X,(oni@lon)^0.82,emotion
(den@out)^0.39,Compositional expression using (A@B)^X,(den@out)^0.39,emotion
(sev@pla)^0.38,Compositional expression using (A@B)^X,(sev@pla)^0.38,emotion
(ros@que)^0.13,Compositional expression using (A@B)^X,(ros@que)^0.13,emotion
(sno@cyc)^0.75,Compositional expression using (A@B)^X,(sno@cyc)^0.75,emotion
hat*ren:echo,Compositional expression using A*B:C,hat*ren:echo,composite
ana*alv:veg,Compositional expression using A*B:C,ana*alv:veg,composite
new*bes:sys,Compositional expression using A*B:C,new*bes:sys,composite
vegt*ask:fra,Compositional expression using A*B:C,vegt*ask:fra,composite
aci*aqu:jet,Compositional expression using A*B:C,aci*aqu:jet,composite
wav*bel:flat,Compositional expression using A*B:C,wav*bel:flat,composite
yet*opn:vec,Compositional expression using A*B:C,yet*opn:vec,composite
cos*whr:ome,Compositional expression using A*B:C,cos*whr:ome,composite
equ*ris:rcr,Compositional expression using A*B:C,equ*ris:rcr,composite
pln*dia:rem,Compositional expression using A*B:C,pln*dia:rem,composite
vsn*ele:materialism,Compositional expression using A*B:C,vsn*ele:materialism,composite
org*alp:cat,Compositional expression using A*B:C,org*alp:cat,composite
gre*mtr:mtc,Compositional expression using A*B:C,gre*mtr:mtc,composite
roo*cyc:too,Compositional expression using A*B:C,roo*cyc:too,composite
ren*ele:iterator,Compositional expression using A*B:C,ren*ele:iterator,composite
dna*jui:wha,Compositional expression using A*B:C,dna*jui:wha,composite
thw*ack:cle,Compositional expression using A*B:C,thw*ack:cle,composite
bot*spcy:rcr,Compositional expression using A*B:C,bot*spcy:rcr,composite
fiber*oxi:awt,Compositional expression using A*B:C,fiber*oxi:awt,composite
duk*hil:neu,Compositional expression using A*B:C,duk*hil:neu,composite
pap*rem:equ,Compositional expression using A*B:C,pap*rem:equ,composite
dst*swa:ist,Compositional expression using A*B:C,dst*swa:ist,composite
eye*itr:coh,Compositional expression using A*B:C,eye*itr:coh,composite
poo*rhy:imp,Compositional expression using A*B:C,poo*rhy:imp,composite
cmt*glo:clo,Compositional expression using A*B:C,cmt*glo:clo,composite
traversable*meit:fam,Compositional expression using A*B:C,traversable*meit:fam,composite
rtr*get:mir,Compositional expression using A*B:C,rtr*get:mir,composite
gol*net:jet,Compositional expression using A*B:C,gol*net:jet,composite
nan*doo:low,Compositional expression using A*B:C,nan*doo:low,composite
jui*rop:shi,Compositional expression using A*B:C,jui*rop:shi,composite
eld*dre:slo,Compositional expression using A*B:C,eld*dre:slo,composite
ban*up:cla,Compositional expression using A*B:C,ban*up:cla,composite
sic*rus:thw,Compositional expression using A*B:C,sic*rus:thw,composite
puz*rtr:has,Compositional expression using A*B:C,puz*rtr:has,composite
obs*hyp:ref,Compositional expression using A*B:C,obs*hyp:ref,composite
pat*crd:sai,Compositional expression using A*B:C,pat*crd:sai,composite
ptat*wol:sus,Compositional expression using A*B:C,ptat*wol:sus,composite
aqu*raw:ris,Compositional expression using A*B:C,aqu*raw:ris,composite
pty*skp:generator,Compositional expression using A*B:C,pty*skp:generator,composite
rel*hyp:cln,Compositional expression using A*B:C,rel*hyp:cln,composite
vir*nos:cap,Compositional expression using A*B:C,vir*nos:cap,composite
cin*fai:closure,Compositional expression using A*B:C,cin*fai:closure,composite
fut*lattice:geo,Compositional expression using A*B:C,fut*lattice:geo,composite
rop*coa:com,Compositional expression using A*B:C,rop*coa:com,composite
joy*dim:rcr,Compositional expression using A*B:C,joy*dim:rcr,composite
fru*qeu:mcal,Compositional expression using A*B:C,fru*qeu:mcal,composite
neu*anc:tow,Compositional expression using A*B:C,neu*anc:tow,composite
mac*glo:closure,Compositional expression using A*B:C,mac*glo:closure,composite
dlg*con:wil,Compositional expression using A*B:C,dlg*con:wil,composite
ism*suf:shi,Compositional expression using A*B:C,ism*suf:shi,composite
eag*jet:avo,Compositional expression using A*B:C,eag*jet:avo,composite
wre*del:myt,Compositional expression using A*B:C,wre*del:myt,composite
jet*gri:stb,Compositional expression using A*B:C,jet*gri:stb,composite
fai*pit:kik,Compositional expression using A*B:C,fai*pit:kik,composite
epi*cos:now,Compositional expression using A*B:C,epi*cos:now,composite
pln*off:oxi,Compositional expression using A*B:C,pln*off:oxi,composite
mis*coh:isl,Compositional expression using A*B:C,mis*coh:isl,composite
sid*hue:det,Compositional expression using A*B:C,sid*hue:det,composite
esc*gar:tog,Compositional expression using A*B:C,esc*gar:tog,composite
ulk*wes:ene,Compositional expression using A*B:C,ulk*wes:ene,composite
lnk*shr:sup,Compositional expression using A*B:C,lnk*shr:sup,composite
urg*tal:lad,Compositional expression using A*B:C,urg*tal:lad,composite
fix*aro:nod,Compositional expression using A*B:C,fix*aro:nod,composite
sha*bnd:seh,Compositional expression using A*B:C,sha*bnd:seh,composite
blk*eff:pul,Compositional expression using A*B:C,blk*eff:pul,composite
fea*oil:eac,Compositional expression using A*B:C,fea*oil:eac,composite
vod*zer:fun,Compositional expression using A*B:C,vod*zer:fun,composite
doo*dis:los,Compositional expression using A*B:C,doo*dis:los,composite
bal*her:sty,Compositional expression using A*B:C,bal*her:sty,composite
arc*wis:brg,Compositional expression using A*B:C,arc*wis:brg,composite
end*pot:der,Compositional expression using A*B:C,end*pot:der,composite
off*cor:vir,Compositional expression using A*B:C,off*cor:vir,composite
add*per:sid,Compositional expression using A*B:C,add*per:sid,composite
mul*ena:cho,Compositional expression using A*B:C,mul*ena:cho,composite
mir*quo:mov,Compositional expression using A*B:C,mir*quo:mov,composite
nit*lig:kol,Compositional expression using A*B:C,nit*lig:kol,composite
log*umi:fam,Compositional expression using A*B:C,log*umi:fam,composite
fry*empiricism:apl,Compositional expression using A*B:C,fry*empiricism:apl,composite
est*kla:mom,Compositional expression using A*B:C,est*kla:mom,composite
mls*wal:dep,Compositional expression using A*B:C,mls*wal:dep,composite
kol*prt:roc,Compositional expression using A*B:C,kol*prt:roc,composite
udc*ena:drv,Compositional expression using A*B:C,udc*ena:drv,composite
obs*flu:for,Compositional expression using A*B:C,obs*flu:for,composite
cup*amo:ski,Compositional expression using A*B:C,cup*amo:ski,composite
umi*kla:eta,Compositional expression using A*B:C,umi*kla:eta,composite
san*vegt:oth,Compositional expression using A*B:C,san*vegt:oth,composite
ergo*infr:ear,Compositional expression using A*B:C,ergo*infr:ear,composite
spe*ale:nou,Compositional expression using A*B:C,spe*ale:nou,composite
eff*prx:dif,Compositional expression using A*B:C,eff*prx:dif,composite
ist*wet:sus,Compositional expression using A*B:C,ist*wet:sus,composite
abl*sta:wgt,Compositional expression using A*B:C,abl*sta:wgt,composite
hea*cow:fmt,Compositional expression using A*B:C,hea*cow:fmt,composite
too*van:gra,Compositional expression using A*B:C,too*van:gra,composite
prx*dut:sph,Compositional expression using A*B:C,prx*dut:sph,composite
due*mis:las,Compositional expression using A*B:C,due*mis:las,composite
cry*ocp:shp,Compositional expression using A*B:C,cry*ocp:shp,composite
maybe*clr:pot,Compositional expression using A*B:C,maybe*clr:pot,composite
applicative*kol:son,Compositional expression using A*B:C,applicative*kol:son,composite
nir*pal:cer,Compositional expression using A*B:C,nir*pal:cer,composite
rec*ind:whe,Compositional expression using A*B:C,rec*ind:whe,composite
loop*mut:saw,Compositional expression using A*B:C,loop*mut:saw,composite
slp*doo:loop,Compositional expression using A*B:C,slp*doo:loop,composite
bra*arg:wet,Compositional expression using A*B:C,bra*arg:wet,composite
tnv*cho:hai,Compositional expression using A*B:C,tnv*cho:hai,composite
glu*red:wrt,Compositional expression using A*B:C,glu*red:wrt,composite
los*has:awa,Compositional expression using A*B:C,los*has:awa,composite
wrt*har:out,Compositional expression using A*B:C,wrt*har:out,composite
crt*uni:and,Compositional expression using A*B:C,crt*uni:and,composite
kne*ulk:prk,Compositional expression using A*B:C,kne*ulk:prk,composite
ner*acc:pragmatism,Compositional expression using A*B:C,ner*acc:pragmatism,composite
chkn*mer:pragmatism,Compositional expression using A*B:C,chkn*mer:pragmatism,composite
conv*nam:drk,Compositional expression using A*B:C,conv*nam:drk,composite
pre*vec:cle,Compositional expression using A*B:C,pre*vec:cle,composite
air*swm:src,Compositional expression using A*B:C,air*swm:src,composite
dialectic*cha:cav,Compositional expression using A*B:C,dialectic*cha:cav,composite
blo*she:cub,Compositional expression using A*B:C,blo*she:cub,composite
det*wod:clst,Compositional expression using A*B:C,det*wod:clst,composite
cof*slp:iro,Compositional expression using A*B:C,cof*slp:iro,composite
gnd*clr:log,Compositional expression using A*B:C,gnd*clr:log,composite
allophone*ify:pek,Compositional expression using A*B:C,allophone*ify:pek,composite
jar*pap:ast,Compositional expression using A*B:C,jar*pap:ast,composite
pro*pil:nut,Compositional expression using A*B:C,pro*pil:nut,composite
phr*whr:duc,Compositional expression using A*B:C,phr*whr:duc,composite
art*fee:alw,Compositional expression using A*B:C,art*fee:alw,composite
lak*sic:sin,Compositional expression using A*B:C,lak*sic:sin,composite
den*sou:vir,Compositional expression using A*B:C,den*sou:vir,composite
hum*bir:bug,Compositional expression using A*B:C,hum*bir:bug,composite
cup*hum:prk,Compositional expression using A*B:C,cup*hum:prk,composite
xpt*drp:covariant,Compositional expression using A*B:C,xpt*drp:covariant,composite
fwd*opt:aer,Compositional expression using A*B:C,fwd*opt:aer,composite
wai*oil:ada,Compositional expression using A*B:C,wai*oil:ada,composite
fra*wid:rcv,Compositional expression using A*B:C,fra*wid:rcv,composite
cei*hid:per,Compositional expression using A*B:C,cei*hid:per,composite
blf*sam:att,Compositional expression using A*B:C,blf*sam:att,composite
vsn*sgl:jok,Compositional expression using A*B:C,vsn*sgl:jok,composite
clst*loy:loop,Compositional expression using A*B:C,clst*loy:loop,composite
wud*era:thn,Compositional expression using A*B:C,wud*era:thn,composite
ana*foo:alo,Compositional expression using A*B:C,ana*foo:alo,composite
bou*rel:gnrt,Compositional expression using A*B:C,bou*rel:gnrt,composite
sma*dif:hol,Compositional expression using A*B:C,sma*dif:hol,composite
wil*fry:spn,Compositional expression using A*B:C,wil*fry:spn,composite
gle*rdc:stg,Compositional expression using A*B:C,gle*rdc:stg,composite
typ*fra:cpu,Compositional expression using A*B:C,typ*fra:cpu,composite
eps*sha:sno,Compositional expression using A*B:C,eps*sha:sno,composite
too*ome:sof,Compositional expression using A*B:C,too*ome:sof,composite
lft*epi:awa,Compositional expression using A*B:C,lft*epi:awa,composite
ros*spn:els,Compositional expression using A*B:C,ros*spn:els,composite
drft*bea:bet,Compositional expression using A*B:C,drft*bea:bet,composite
sho*tri:mir,Compositional expression using A*B:C,sho*tri:mir,composite
vic*det:spe,Compositional expression using A*B:C,vic*det:spe,composite
(tea\you)^0.78,Compositional expression using (A\B)^X,(tea\you)^0.78,negation
(avi\conv)^0.66,Compositional expression using (A\B)^X,(avi\conv)^0.66,negation
(fry\cst)^0.89,Compositional expression using (A\B)^X,(fry\cst)^0.89,negation
(phs\cas)^0.20,Compositional expression using (A\B)^X,(phs\cas)^0.20,negation
(orb\ani)^0.33,Compositional expression using (A\B)^X,(orb\ani)^0.33,negation
(frut\fes)^0.95,Compositional expression using (A\B)^X,(frut\fes)^0.95,negation
(rna\lmt)^0.36,Compositional expression using (A\B)^X,(rna\lmt)^0.36,negation
(ora\hyp)^0.93,Compositional expression using (A\B)^X,(ora\hyp)^0.93,negation
(sig\rol)^0.28,Compositional expression using (A\B)^X,(sig\rol)^0.28,negation
(pit\bar)^0.31,Compositional expression using (A\B)^X,(pit\bar)^0.31,negation
(sup\arc)^0.29,Compositional expression using (A\B)^X,(sup\arc)^0.29,negation
(gal\joy)^0.48,Compositional expression using (A\B)^X,(gal\joy)^0.48,negation
(dna\sig)^0.53,Compositional expression using (A\B)^X,(dna\sig)^0.53,negation
(seq\mtr)^0.57,Compositional expression using (A\B)^X,(seq\mtr)^0.57,negation
(put\dra)^0.42,Compositional expression using (A\B)^X,(put\dra)^0.42,negation
(psta\wea)^0.88,Compositional expression using (A\B)^X,(psta\wea)^0.88,negation
(mds\aur)^0.48,Compositional expression using (A\B)^X,(mds\aur)^0.48,negation
(los\hab)^0.60,Compositional expression using (A\B)^X,(los\hab)^0.60,negation
(maj\dub)^0.27,Compositional expression using (A\B)^X,(maj\dub)^0.27,negation
(ris\hyd)^0.49,Compositional expression using (A\B)^X,(ris\hyd)^0.49,negation
(wol\nxt)^0.79,Compositional expression using (A\B)^X,(wol\nxt)^0.79,negation
(dul\ric)^0.66,Compositional expression using (A\B)^X,(dul\ric)^0.66,negation
(vit\pot)^0.56,Compositional expression using (A\B)^X,(vit\pot)^0.56,negation
(mor\wes)^0.87,Compositional expression using (A\B)^X,(mor\wes)^0.87,negation
(poo\tbl)^0.52,Compositional expression using (A\B)^X,(poo\tbl)^0.52,negation
(wax\cel)^0.79,Compositional expression using (A\B)^X,(wax\cel)^0.79,negation
(rsn\uni)^0.71,Compositional expression using (A\B)^X,(rsn\uni)^0.71,negation
(flat\som)^0.49,Compositional expression using (A\B)^X,(flat\som)^0.49,negation
(bac\hrt)^0.72,Compositional expression using (A\B)^X,(bac\hrt)^0.72,negation
(vec\crrt)^0.59,Compositional expression using (A\B)^X,(vec\crrt)^0.59,negation
(but\hun)^0.80,Compositional expression using (A\B)^X,(but\hun)^0.80,negation
(gol\fil)^0.31,Compositional expression using (A\B)^X,(gol\fil)^0.31,negation
(ans\aut)^0.19,Compositional expression using (A\B)^X,(ans\aut)^0.19,negation
(flu\tmo)^0.53,Compositional expression using (A\B)^X,(flu\tmo)^0.53,negation
(mak\src)^0.90,Compositional expression using (A\B)^X,(mak\src)^0.90,negation
(htl\aim)^0.62,Compositional expression using (A\B)^X,(htl\aim)^0.62,negation
(has\div)^0.46,Compositional expression using (A\B)^X,(has\div)^0.46,negation
(rim\bee)^0.73,Compositional expression using (A\B)^X,(rim\bee)^0.73,negation
(eve\dan)^0.37,Compositional expression using (A\B)^X,(eve\dan)^0.37,negation
(non\hns)^0.17,Compositional expression using (A\B)^X,(non\hns)^0.17,negation
(low\record)^0.66,Compositional expression using (A\B)^X,(low\record)^0.66,negation
(tex\cri)^0.20,Compositional expression using (A\B)^X,(tex\cri)^0.20,negation
(alg\sic)^0.16,Compositional expression using (A\B)^X,(alg\sic)^0.16,negation
(ina\loy)^0.60,Compositional expression using (A\B)^X,(ina\loy)^0.60,negation
(sam\ity)^0.71,Compositional expression using (A\B)^X,(sam\ity)^0.71,negation
(bak\acr)^0.66,Compositional expression using (A\B)^X,(bak\acr)^0.66,negation
(fat\await)^0.90,Compositional expression using (A\B)^X,(fat\await)^0.90,negation
(twi\wud)^0.92,Compositional expression using (A\B)^X,(twi\wud)^0.92,negation
(min\mrg)^0.91,Compositional expression using (A\B)^X,(min\mrg)^0.91,negation
(spa\aro)^0.82,Compositional expression using (A\B)^X,(spa\aro)^0.82,negation
(loop\rul)^0.54,Compositional expression using (A\B)^X,(loop\rul)^0.54,negation
(pig\variance)^0.91,Compositional expression using (A\B)^X,(pig\variance)^0.91,negation
(fro\too)^0.65,Compositional expression using (A\B)^X,(fro\too)^0.65,negation
(soc\esc)^0.39,Compositional expression using (A\B)^X,(soc\esc)^0.39,negation
(ubu\anch)^0.14,Compositional expression using (A\B)^X,(ubu\anch)^0.14,negation
(var\eud)^0.94,Compositional expression using (A\B)^X,(var\eud)^0.94,negation
(dst\fwd)^0.53,Compositional expression using (A\B)^X,(dst\fwd)^0.53,negation
